"fiscal_year","is_above_line","org_id","est_doc","covid_measure_id","vote","stat"
2020,1,140,"SEC","COV043",125000000,24500000
2020,1,140,"SEC","COV065",1140000,
2020,1,140,"SEC","COV134",13250000,
2021,1,12,"MAINS","COV134",30888862,190926
2021,1,12,"MAINS","COV145",749473,9911
2021,1,46,"MAINS","COV087",358271,41729
2021,1,74,"MAINS","COV082",15000000,
2021,1,42,"MAINS","COV091",258000000,
2021,1,86,"MAINS","COV134",1928000,13500
2021,1,117,"MAINS","COV146",11838437,3196378
2021,1,150,"MAINS","COV134",18132000,121500
2021,1,150,"MAINS","COV145",8133214,76790
2021,1,125,"MAINS","COV066",140532925,470705
2021,1,141,"MAINS","COV134",44355000,303750
2021,1,141,"MAINS","COV145",3861256,25597
2021,1,127,"MAINS","COV082",374188241,4241307
2021,1,127,"MAINS","COV113",21242428,2760958
2021,1,127,"MAINS","COV121",502469831,161752
2021,1,127,"MAINS","COV123",44169149,223088
2021,1,127,"MAINS","COV124",450000,
2021,1,128,"MAINS","COV020",,71812
2021,1,128,"MAINS","COV025",,645760740
2021,1,128,"MAINS","COV040",,11340664
2021,1,128,"MAINS","COV084",12989068,210932
2021,1,128,"MAINS","COV087",91898833,
2021,1,128,"MAINS","COV106",,3430000000
2021,1,128,"MAINS","COV126",,2380000000
2021,1,128,"MAINS","COV127",,4525000000
2021,1,128,"MAINS","COV140",20165317,
2021,1,128,"MAINS","COV149",,813523
2021,1,128,"MAINS","COV152",92579049,5905599
2021,1,348,"MAINS","COV045",2125000,
2021,1,348,"MAINS","COV124",92144616,1375846
2021,1,348,"MAINS","COV125",122291136,331421
2021,1,130,"MAINS","COV010",261523904,543741
2021,1,130,"MAINS","COV082",20000000,
2021,1,130,"MAINS","COV134",18128205,123829
2021,1,130,"MAINS","COV141",398246,96714
2021,1,130,"MAINS","COV145",1420876,66339
2021,1,134,"MAINS","COV062",569097842,1346144
2021,1,228,"MAINS","COV010",11090800,356400
2021,1,228,"MAINS","COV024",2389765,531495
2021,1,228,"MAINS","COV082",88000000,
2021,1,228,"MAINS","COV083",33758555,1952226
2021,1,230,"MAINS","COV010",5000000,
2021,1,280,"MAINS","COV002",37200000,
2021,1,280,"MAINS","COV010",105295190,1078127
