dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
CTAIB,age40to44,25,22,25,24,23,0.1142
CTAIB,age45to49,30,32,28,26,26,0.13628
CTAIB,age50to54,45,49,59,58,47,0.2476
CTAIB,age55to59,42,36,39,40,40,0.18906
CTAIB,age60to64,17,18,21,25,27,0.10365
CTAIB,age65plus,7,3,4,3,4,0.02015
EA,age20less,10,4,3,1,8,0.00079
EA,age20to24,343,146,170,181,214,0.03212
EA,age25to29,793,441,391,365,396,0.07271
EA,age30to34,1414,816,798,714,668,0.13439
EA,age35to39,1465,971,965,960,939,0.16151
EA,age40to44,1271,939,931,967,1057,0.1574
EA,age45to49,1196,852,876,850,862,0.14128
EA,age50to54,1143,839,798,804,833,0.1346
EA,age55to59,754,617,620,606,635,0.09849
EA,age60to64,356,298,303,323,324,0.04888
EA,age65plus,119,104,118,119,125,0.01783
EC,age20less,34,54,30,22,33,0.0053
EC,age20to24,334,349,338,350,399,0.05425
EC,age25to29,561,564,566,509,521,0.08339
EC,age30to34,736,756,781,753,739,0.11539
EC,age35to39,956,953,955,902,921,0.14365
EC,age40to44,872,901,971,977,1010,0.14499
EC,age45to49,954,950,897,878,874,0.13954
EC,age50to54,986,1034,1029,1003,993,0.15462
EC,age55to59,658,649,669,703,708,0.1038
EC,age60to64,244,259,282,286,307,0.04223
EC,age65plus,73,81,77,92,96,0.01284
ERC,age30to34,1,1,1,1,.,0.13333
ERC,age35to39,1,1,.,.,1,0.1
ERC,age40to44,1,1,2,1,1,0.2
ERC,age45to49,1,1,.,1,1,0.13333
ERC,age50to54,1,.,2,3,1,0.23333
ERC,age55to59,1,1,1,1,1,0.16667
ERC,age60to64,.,.,.,.,1,0.03333
FCAC,age20less,.,.,.,1,.,0.00234
FCAC,age20to24,1,2,2,5,4,0.03271
FCAC,age25to29,10,8,6,6,10,0.09346
FCAC,age30to34,14,16,16,18,18,0.19159
FCAC,age35to39,19,19,22,22,21,0.24065
FCAC,age40to44,8,11,16,18,20,0.17056
FCAC,age45to49,7,4,3,5,6,0.05841
FCAC,age50to54,7,10,8,9,12,0.10748
FCAC,age55to59,3,5,6,7,4,0.05841
FCAC,age60to64,1,1,3,2,3,0.02336
FCAC,age65plus,3,2,2,1,1,0.02103
FEDSO,age20less,2,.,.,5,1,0.00728
FEDSO,age20to24,9,12,5,9,9,0.04004
FEDSO,age25to29,44,27,26,22,23,0.12921
FEDSO,age30to34,42,40,43,35,33,0.17561
FEDSO,age35to39,28,40,40,43,40,0.17379
FEDSO,age40to44,24,22,25,29,33,0.12102
FEDSO,age45to49,26,30,27,29,26,0.12557
FEDSO,age50to54,24,32,30,24,24,0.12193
FEDSO,age55to59,13,14,15,18,21,0.0737
FEDSO,age60to64,6,6,5,5,3,0.02275
FEDSO,age65plus,.,1,2,3,4,0.0091
FIN,age20less,1,.,.,.,1,0.00054
FIN,age20to24,14,10,15,16,19,0.01983
FIN,age25to29,106,97,77,82,85,0.11977
FIN,age30to34,134,141,145,128,120,0.17899
FIN,age35to39,142,130,138,134,147,0.18516
FIN,age40to44,100,100,113,116,116,0.14603
FIN,age45to49,98,109,100,90,94,0.13156
FIN,age50to54,95,87,80,86,83,0.11549
FIN,age55to59,40,50,56,64,57,0.07154
FIN,age60to64,21,20,12,11,18,0.02197
FIN,age65plus,5,7,7,8,7,0.00911
FJA,age20less,1,.,.,.,.,0.00337
FJA,age20to24,.,1,1,.,2,0.01347
FJA,age25to29,4,2,1,3,3,0.04377
FJA,age30to34,12,4,5,3,6,0.10101
FJA,age35to39,7,9,8,13,11,0.16162
FJA,age40to44,10,7,6,8,10,0.13805
FJA,age45to49,12,16,14,10,9,0.20539
FJA,age50to54,9,7,6,7,12,0.13805
FJA,age55to59,7,7,5,7,4,0.10101
FJA,age60to64,3,3,7,7,2,0.07407
FJA,age65plus,2,2,1,1,.,0.0202
FO,age20less,32,28,22,28,55,0.00328
FO,age20to24,306,311,356,318,371,0.03308
FO,age25to29,722,641,623,674,741,0.06769
FO,age30to34,1037,994,979,991,1051,0.10056
FO,age35to39,1230,1201,1259,1279,1305,0.12488
FO,age40to44,1316,1313,1265,1304,1383,0.13099
FO,age45to49,1581,1421,1363,1346,1395,0.14144
FO,age50to54,2052,2035,1922,1799,1685,0.18895
FO,age55to59,1365,1340,1386,1425,1450,0.13865
FO,age60to64,518,516,517,554,592,0.05368
FO,age65plus,135,158,166,183,202,0.0168
FORDQ,age20to24,17,18,15,11,11,0.04268
FORDQ,age25to29,27,29,29,22,22,0.07647
FORDQ,age30to34,30,24,21,26,30,0.07765
FORDQ,age35to39,55,54,41,40,43,0.13811
FORDQ,age40to44,39,47,44,47,52,0.13574
