dept_code,activity_code,vs_type,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year
CBSA,BUF11,S,2479972.79,2422859.27,3015256.1799999997,3328747.0300000003,3542506.33
CBSA,BUF11,V,163615772.53,147714755.69,142971556.81,145728987.23,170811275.31
CBSA,BUF12,S,1926191.7300000002,2028034.85,1962754.0999999999,2312414.44,2300717.21
CBSA,BUF12,V,36361671.21,39424810.76,42329937.76,44624866.24,46209129.47
CBSA,BUF13,S,,,,8468350.59,10816687.4
CBSA,BUF13,V,,,57947789.82000001,56656616.519999996,68534163.48
CBSA,BUG01,S,7020006.27,7709880.08,10505637.33,10596018.450000001,11866903.67
CBSA,BUG01,V,60156264.870000005,78731668.22,105958232.2,100050047.62,86231448.05
CBSA,BUG02,S,2131017.41,2197067.72,2958625.9699999997,3605651.37,4793640.86
CBSA,BUG02,V,62277116.57000001,71719398.8,79741337.14,97753392.97,125358168.97
CBSA,BUG03,S,5176490.14,5439351.88,6488482.24,7086816.73,8554331.549999999
CBSA,BUG03,V,36287348.85,41102329.26,47493013.32,50571363.72,56550745.00000001
CBSA,BUG04,S,3972436.5,4720192.99,5422299.95,5924898.850000001,7435480.93
CBSA,BUG04,V,33322786.72,45554332.58,50627153.87,59856315.21,70814999.04
CBSA,BUG05,S,4972687.100000001,5169486.09,5705320.77,5626516.75,6993536.4399999995
CBSA,BUG05,V,35817202.580000006,40755280.190000005,41771818.43,40465368.27,48897098.300000004
CBSA,ISS01,S,11761622.76,14510038.0,13691635.34,15276405.73,15065121.26
CBSA,ISS01,V,92343936.78,107127853.79,92687530.92000002,105429885.56,102538185.39000002
CBSA,ISS02,S,1865677.36,1850932.8,1715327.65,2002923.2200000002,1893813.9
CBSA,ISS02,V,13155967.940000001,12613942.459999999,11595618.24,13796236.509999998,12988473.510000002
CBSA,ISS03,S,96336.43,101654.91,91184.17,106906.91,101899.58
CBSA,ISS03,V,15769020.610000001,16099695.200000001,21062920.34,19580289.84,21470239.77
CBSA,ISS04,S,8181729.13,9047821.96,10731533.0,12137268.66,12096489.719999999
CBSA,ISS04,V,63363278.61,68547953.44,79228863.6,90806462.64,89874786.03
CBSA,ISS05,S,3666073.93,4101032.06,4054019.0100000002,4213356.05,4444304.82
CBSA,ISS05,V,38162671.02,41661970.03,43000235.89,42571243.980000004,44841257.36000001
CBSA,ISS06,S,704627.12,967515.11,1160155.55,1383338.56,1490542.41
CBSA,ISS06,V,17597790.6,23006301.400000002,25384412.95,27025916.56,16455900.04
