dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
CBSA,ab,502,507,526,506,504,0.0362
CBSA,abroad,9,5,6,12,27,0.00084
CBSA,bc,1779,1744,1787,1839,1811,0.12744
CBSA,nl,73,73,71,76,74,0.00522
CBSA,mb,508,482,486,475,458,0.03426
CBSA,na,.,.,.,2,125,0.00181
CBSA,nb,408,405,399,391,380,0.02821
CBSA,ncr,4476,4679,4618,4581,4380,0.32336
CBSA,ns,283,293,271,271,248,0.01943
CBSA,nt,1,1,2,2,2,0.00011
CBSA,nu,2,2,1,2,.,0.0001
CBSA,onlessncr,3870,3671,3735,3791,3566,0.26503
CBSA,pe,15,15,13,5,3,0.00073
CBSA,qclessncr,2100,2023,2000,2034,1960,0.1439
CBSA,sk,168,174,168,163,150,0.01171
CBSA,yt,24,22,30,21,19,0.00165
CCMD,ab,4,8,10,10,8,0.01255
CCMD,bc,11,13,14,14,13,0.0204
CCMD,nl,1,.,.,2,2,0.00157
CCMD,mb,14,15,10,12,8,0.01852
CCMD,na,.,.,.,4,7,0.00345
CCMD,nb,10,10,10,9,8,0.01475
CCMD,ncr,556,523,545,543,522,0.84401
CCMD,ns,10,10,8,7,10,0.01412
CCMD,nt,1,1,.,.,.,0.00063
CCMD,onlessncr,16,20,24,21,16,0.03045
CCMD,qclessncr,33,23,23,24,15,0.03704
CCMD,sk,.,1,1,1,.,0.00094
CCMD,yt,1,1,1,1,1,0.00157
CCRA,ab,2558,2524,2482,2400,2513,0.06198
CCRA,bc,4823,4630,4589,4485,4309,0.11344
CCRA,nl,1296,1256,1306,1157,1329,0.03151
CCRA,mb,2616,2518,2475,2446,2696,0.06334
CCRA,na,.,.,.,9,48,0.00028
CCRA,nb,622,613,649,623,642,0.01564
CCRA,ncr,11262,11040,11129,11091,11337,0.27749
CCRA,ns,709,690,702,683,681,0.01721
CCRA,onlessncr,10391,10146,10031,10031,10046,0.25159
CCRA,pe,1117,1173,1154,1131,1107,0.02823
CCRA,qclessncr,5269,5075,4977,4898,4992,0.12524
CCRA,sk,593,614,565,530,523,0.01403
CDC,na,.,.,.,1,4,0.01742
CDC,ncr,59,51,56,59,57,0.98258
CEAA,ab,6,11,9,8,9,0.0351
CEAA,bc,26,29,30,31,33,0.12163
CEAA,mb,8,3,.,.,.,0.00898
CEAA,na,.,.,.,15,5,0.01633
CEAA,ncr,140,154,149,164,196,0.65551
CEAA,ns,10,9,12,10,14,0.0449
CEAA,onlessncr,20,14,17,19,19,0.07265
CEAA,qclessncr,9,10,11,11,13,0.04408
CEAA,yt,.,.,1,.,.,0.00082
CEO,na,.,.,.,.,1,0.00035
CEO,ncr,495,520,630,634,583,0.99965
CFGB,bc,.,.,.,1,.,0.00524
CFGB,na,.,.,.,.,2,0.01047
CFGB,ncr,38,37,42,34,37,0.98429
CFIA,ab,587,587,547,543,530,0.091
CFIA,bc,527,509,499,498,500,0.0825
CFIA,nl,128,128,121,118,103,0.01948
CFIA,mb,279,271,252,251,265,0.04293
CFIA,na,.,.,.,19,5,0.00078
CFIA,nb,286,305,274,261,271,0.0455
CFIA,ncr,1749,1799,1685,1743,1961,0.29107
CFIA,ns,193,198,186,190,189,0.03114
CFIA,onlessncr,1057,1095,1038,999,996,0.16887
CFIA,pe,133,141,158,132,121,0.02231
CFIA,qclessncr,1078,1060,1019,967,1017,0.16744
CFIA,sk,237,222,230,225,222,0.037
CGC,ab,4,4,4,4,4,0.00876
CGC,bc,218,103,101,98,103,0.27277
