"deptcode","activitycode","FTEActual_2012","FTEActual_2013","FTEActual_2014","FTEActual_2015","FTEActual_2016","FTEPlanned_2017","FTEPlanned_2018","FTEPlanned_2019","PlannedFTE_1617"
"ORL","BVA01",".",".",".",".",".",7,7,7,"."
"ORL","BVA02",".",".",".",".",".",7,7,7,"."
"ORL","BVA03",".",".",".",".",".",8,8,8,"."
"ORL","DAF00",".",".",".",8,8,".",".",".",8
"ORL","ISC00",6,7,6,6,6,".",".",".",6
"ORL","ISS00",".",".",".",".",".",6,6,6,"."
"OSFI","AIG00",30,32,32,33,32,36,36,36,37
"OSFI","AIH00",390,416,428,418,417,421,421,424,433
"OSFI","AII00",28,28,26,26,26,25,25,25,26
"OSFI","ISC00",188,190,201,189,197,193,192,194,188
"PCA","AGV00",951,879,875,873,945,920,913,913,874
"PCA","AGW00",65,57,60,50,49,39,39,39,33
"PCA","AGZ00",349,327,355,335,370,349,348,348,367
"PCA","AHA00",1812,1923,2070,2064,2219,2210,2151,2147,1927
"PCA","AHC00",255,236,293,291,324,318,317,318,300
"PCA","ISC00",492,517,571,1030,1107,1073,1072,1072,958
"PCC","AYX00",31,33,41,45,43,45,45,45,44
"PCC","ISC00",28,22,18,22,19,22,22,22,"."
"PCO","BEB00",511,486,484,461,524,540,539,540,518
"PCO","BEF00",17,15,17,28,33,31,31,24,31
"PCO","BEI00",7,".",".",0,12,65,43,0,0
"PCO","BLG00",106,104,102,104,102,115,114,114,108
"PCO","ISC00",307,298,281,279,275,295,295,295,297
"PHAC","CIA00",".",714,717,704.3,743,735,729,728,723
"PHAC","CIB00",".",850,845,867.1,794,829,828,827,849
"PHAC","CIC00",".",269,275,299.9,313,312,311,311,315
"PHAC","ISC00",353,274,265,271.4,276,597,595,595,611
"PMPRB","ALD00",7.8,7.2,9.2,12.8,13.3,13,13,13,12
"PMPRB","ALE00",30.3,25.9,24.7,31.1,31.1,33,33,33,40
"PMPRB","ISC00",22.3,22.3,22.3,18.6,19.3,20,20,20,19
"PSC","AEJ00",137,138,114,106,92,107,105,104,121
"PSC","AEL00",356,272,260,261,281,345,343,339,343
"PSC","BHE00",160,139,136,127,115,130,129,127,136
"PSC","ISC00",228,211,194,208,225,259,257,254,229
"PSEP","AYJ00",155,164,175,166,192,229,238,237,205
"PSEP","AYK00",237,201,192,214,262,253,253,253,251
"PSEP","BLE00",30,29,26,29,31,24,24,24,26
"PSEP","ISC00",434,436,360,391,411,410,412,411,"."
"PSEP","LJP00",239,228,201,204,227,224,224,224,225
"PSSRB","AEO00",61,62,29.5,".",".",".",".",".","."
"PSSRB","ISC00",29,28,14.9,".",".",".",".",".","."
"PSST","AES00",27,24,12,".",".",".",".",".","."
"PSST","ISC00",9,7,4.7,".",".",".",".",".","."
"RCMP","AYO00",22162,21550,21501,22035,22129,22470,22563,22534,22197
"RCMP","AYR00",2074,1885,1818,1366,1319,1409,1413,1413,1364
"RCMP","HGD00",235,232,195,179,174,158,158,158,200
"RCMP","HGE00",89,97,88,90,89,96,96,96,93
"RCMP","HGF00",0,0,0,0,0,0,0,0,0
"RCMP","ISC00",5109,5146,5184,5343,5463,5388,5409,5409,5309
"RPSDP","BKA00",8,7,3.6,".",".",".",".",".","."
"RSCT","ADP00",7.4,7.5,4.8,".",".",".",".",".","."
"RSCT","ISC00",3.8,4.4,2.1,".",".",".",".",".","."
"SC","AQL00",".",512,576,1087,1444,491,79,4,1754
"SC","AQM00",1816,1192,1226,1384,1435,1376,1373,1372,1375
"SC","AQN00",1204,695,706,1136,1141,1096,1090,1112,1147
"SC","AQO00",754,".",".",".",".",".",".",".","."
"SC","AQR00",".",1069,1117,954,765,888,873,865,989
"SC","AQT00",".",584,562,1013,1044,0,0,0,0
"SC","ISC00",950,537,571,586,653,591,587,589,519
"SCC","ASW00",144,142,137,136,137,148,148,148,146
"SCC","HGK00",0,0,0,0,0,0,0,0,0
"SCC","ISC00",69,68,67,65,67,69,69,69,68
"SHARE","BFS00",".",".",".",".",".",304,304,304,"."
"SHARE","BFT00",".",".",".",".",".",1750,1750,1750,"."
