"org_id","fiscal_year","calendar_month","is_in_estimates","is_budgetary","covid_measure_id","Stat","Vote"
86,2021,03,1,1,"COV043",0.00,2714890.00
86,2021,03,1,1,"COV129",0.00,2251388.00
86,2021,03,1,1,"COV134",0.00,2500000.00
117,2021,03,1,1,"COV146",3196377.99,11838437.00
117,2021,03,1,1,"COV213",6793086.99,73372307.03
126,2021,03,1,1,"COV082",0.00,75000000.00
126,2021,03,1,1,"COV229",0.00,375000000.00
561,2021,03,1,1,"COV134",0.00,19555315.00
561,2021,03,1,1,"COV215",0.00,4681157.00
150,2021,03,1,1,"COV043",525000.00,72283446.00
150,2021,03,1,1,"COV134",121500.00,14277935.00
150,2021,03,1,1,"COV145",76790.00,9006103.00
150,2021,03,1,1,"COV215",270417.00,40635774.00
124,2021,03,1,1,"COV201",1000000000.00,0.00
124,2021,03,1,1,"COV228",4000000000.00,0.00
125,2021,03,1,1,"COV066",240218.19,41474382.06
141,2021,03,1,1,"COV043",489855.00,75201330.00
141,2021,03,1,1,"COV134",28501.00,23262684.00
141,2021,03,1,1,"COV145",17545.00,3389404.00
141,2021,03,1,1,"COV215",78295.00,3813302.00
136,2021,03,1,1,"COV004",0.00,1588256.77
136,2021,03,1,1,"COV005",0.00,68834213.13
136,2021,03,1,1,"COV148",3063281.16,13604384.45
127,2021,03,1,1,"COV002",0.00,152163.00
127,2021,03,1,1,"COV006",0.00,699523.00
127,2021,03,1,1,"COV012",0.00,93216133.00
127,2021,03,1,1,"COV023",0.00,490093.00
127,2021,03,1,1,"COV079",0.00,176520534.00
127,2021,03,1,1,"COV082",4101241.00,39580946.00
127,2021,03,1,1,"COV113",12781428.00,78248156.00
127,2021,03,1,1,"COV121",0.00,1005227181.00
127,2021,03,1,1,"COV122",0.00,1708302.00
127,2021,03,1,1,"COV123",37713.00,23869863.00
127,2021,03,1,1,"COV124",0.00,190473.00
127,2021,03,1,1,"COV209",840.00,61896261.00
127,2021,03,1,1,"COV211",100619.00,2748905.00
127,2021,03,1,1,"COV241",710876835.00,700000000.00
128,2021,03,1,1,"COV014",0.00,52170624.00
128,2021,03,1,1,"COV020",4970205.64,0.00
128,2021,03,1,1,"COV025",614471506.35,0.00
128,2021,03,1,1,"COV026",0.00,47811212.00
128,2021,03,1,1,"COV036",173355.11,171417802.03
128,2021,03,1,1,"COV040",33414300.66,0.00
128,2021,03,1,1,"COV084",210936.00,24489064.00
128,2021,03,1,1,"COV087",0.00,17004161.25
128,2021,03,0,1,"COV105",4239300000.00,0.00
128,2021,03,1,1,"COV106",13214013127.87,0.00
128,2021,03,1,1,"COV126",1026424743.41,0.00
128,2021,03,1,1,"COV127",2341550662.00,0.00
128,2021,03,1,1,"COV140",0.00,13131216.00
128,2021,03,1,1,"COV149",4431499.00,0.00
128,2021,03,1,1,"COV150",3914645.00,11879784.00
128,2021,03,1,1,"COV152",5413463.00,120664918.00
128,2021,03,0,1,"COV203",1622959.02,2077041.00
128,2021,03,0,1,"COV233",9325500000.00,0.00
128,2021,03,1,1,"COV237",946129117.00,0.00
129,2021,03,1,1,"COV117",0.00,5340240.00
129,2021,03,1,1,"COV222",0.00,32489084.00
348,2021,03,1,1,"COV032",0.00,740090730.34
348,2021,03,1,1,"COV088",0.00,274073.00
348,2021,03,1,1,"COV111",0.00,332282574.92
348,2021,03,1,1,"COV117",0.00,17870183.00
348,2021,03,1,1,"COV124",0.00,504324856.04
348,2021,03,1,1,"COV125",0.00,122981198.68
348,2021,03,1,1,"COV204",0.00,43133600.31
348,2021,03,1,1,"COV222",0.00,117000000.00
348,2021,03,1,1,"COV223",0.00,25362931.99
348,2021,03,1,1,"COV232",0.00,109692763.00
130,2021,03,1,1,"COV010",0.00,77908888.00
130,2021,03,1,1,"COV024",0.00,1558736.00
130,2021,03,1,1,"COV043",0.00,21817059.00
130,2021,03,1,1,"COV082",0.00,35185354.00
130,2021,03,1,1,"COV134",0.00,3500334.00
130,2021,03,1,1,"COV139",0.00,8937597.00
130,2021,03,1,1,"COV141",0.00,37632019.00
130,2021,03,1,1,"COV145",0.00,21348677.00
130,2021,03,1,1,"COV204",0.00,750074.00
132,2021,03,1,1,"COV154",0.00,10000000.00
217,2021,03,1,1,"COV219",0.00,19200000.00
218,2021,03,1,1,"COV216",0.00,5228347.00
224,2021,03,1,1,"COV216",0.00,6200000.00
226,2021,03,1,1,"COV216",0.00,14603000.00
134,2021,03,1,1,"COV062",1138139.04,133847129.20
228,2021,03,1,1,"COV002",0.00,19650043.81
228,2021,03,1,1,"COV010",0.00,11227763.15
228,2021,03,1,1,"COV024",0.00,2906729.63
228,2021,03,1,1,"COV082",0.00,43693891.41
228,2021,03,1,1,"COV083",0.00,62144765.66
230,2021,03,1,1,"COV010",0.00,5000000.00
237,2021,03,1,1,"COV036",216694.00,122001831.00
237,2021,03,1,1,"COV117",18568.00,973469.00
280,2021,03,1,1,"COV002",0.00,32949736.00
280,2021,03,1,1,"COV010",1088231.00,92624630.00
280,2021,03,1,1,"COV023",0.00,25500000.00
280,2021,03,1,1,"COV037",0.00,4753847.00
