DeptCode,Tenure,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
ODPP,Casual,17,16,12,21,12,0.01628
ODPP,Indeterminate,849,860,874,892,899,0.91296
ODPP,Student,5,7,4,1,1,0.00376
ODPP,Term,59,71,79,54,58,0.06700
OICC,Casual,4,5,12,19,21,0.03699
OICC,Indeterminate,323,292,269,312,311,0.91389
OICC,Student,14,6,4,16,14,0.03275
OICC,Term,7,5,3,7,5,0.01637
OPSIC,Casual,4,2,.,.,2,0.05714
OPSIC,Indeterminate,24,27,27,23,23,0.88571
OPSIC,Student,.,1,.,.,.,0.00714
OPSIC,Term,2,1,1,2,1,0.05000
ORL,Casual,.,.,.,1,1,0.01504
ORL,Indeterminate,26,25,26,26,24,0.95489
ORL,Term,2,1,.,.,1,0.03008
OSFI,Casual,6,10,9,10,9,0.01337
OSFI,Indeterminate,573,600,639,659,628,0.94137
OSFI,Student,6,5,11,10,5,0.01124
OSFI,Term,18,23,25,21,25,0.03402
PCA,Casual,.,.,.,35,78,0.00657
PCA,Indeterminate,3239,2607,2837,2954,3240,0.86499
PCA,Student,68,57,87,73,78,0.02111
PCA,Term,514,259,251,332,490,0.10733
PCC,Casual,1,3,3,9,8,0.07385
PCC,Indeterminate,42,50,52,52,51,0.76000
PCC,Student,6,3,6,8,6,0.08923
PCC,Term,6,4,4,5,6,0.07692
PCO,Casual,43,29,52,38,44,0.05369
PCO,Indeterminate,801,704,659,655,637,0.90070
PCO,Student,23,11,23,22,17,0.02502
PCO,Term,25,10,17,13,14,0.02059
PHAC,Casual,145,75,103,92,107,0.04529
PHAC,Indeterminate,2329,1881,1831,1852,1883,0.84817
PHAC,Student,92,92,126,101,115,0.04564
PHAC,Term,213,115,115,141,118,0.06091
PMPRB,Casual,1,1,3,6,3,0.04778
PMPRB,Indeterminate,51,48,49,52,62,0.89420
PMPRB,Student,.,.,1,1,.,0.00683
PMPRB,Term,4,4,2,1,4,0.05119
PSC,Casual,42,23,13,30,32,0.03453
PSC,Indeterminate,886,814,708,683,682,0.93046
PSC,Student,27,14,9,17,20,0.02145
PSC,Term,20,14,6,8,7,0.01356
PSEP,Casual,56,72,61,74,112,0.06964
PSEP,Indeterminate,998,977,939,845,911,0.86722
PSEP,Student,28,31,32,41,68,0.03714
PSEP,Term,31,32,25,18,34,0.02600
PSSRB,Casual,4,3,7,.,.,0.05091
PSSRB,Indeterminate,72,74,71,.,.,0.78909
PSSRB,Student,3,4,1,.,.,0.02909
PSSRB,Term,9,15,12,.,.,0.13091
PSST,Casual,1,1,.,.,.,0.01980
PSST,Indeterminate,28,25,26,.,.,0.78218
PSST,Term,9,6,5,.,.,0.19802
RCMP,Casual,156,95,173,174,184,0.02502
RCMP,Indeterminate,5730,5543,5616,5763,5837,0.91153
RCMP,Student,53,37,57,68,69,0.00909
RCMP,Term,271,296,219,432,481,0.05436
RPSDP,Casual,.,.,1,.,.,0.04000
RPSDP,Indeterminate,6,6,7,.,.,0.76000
RPSDP,Student,.,3,1,.,.,0.16000
RPSDP,Term,1,.,.,.,.,0.04000
RSCT,Casual,1,1,.,.,.,0.06667
RSCT,Indeterminate,8,9,9,.,.,0.86667
RSCT,Student,1,.,.,.,.,0.03333
RSCT,Term,1,.,.,.,.,0.03333
SC,Casual,103,51,115,114,229,0.01773
SC,Indeterminate,5733,4844,4727,4801,4792,0.72136
SC,Student,114,48,256,204,163,0.02274
SC,Term,1977,1188,1408,1413,2234,0.23816
SCC,Casual,9,6,7,10,10,0.03867
SCC,Indeterminate,169,165,168,150,153,0.74125
SCC,Student,12,12,15,18,14,0.06538
SCC,Term,36,33,29,35,35,0.15470
SHARE,Casual,.,151,168,148,196,0.03144
SHARE,Indeterminate,.,4985,5010,4815,4638,0.92232
SHARE,Student,.,53,64,52,70,0.01133
SHARE,Term,.,110,152,221,253,0.03490
SIRC,Indeterminate,17,15,16,17,17,0.95349
SIRC,Student,.,.,.,.,2,0.02326
SIRC,Term,.,.,.,1,1,0.02326
SSHRC,Indeterminate,185,169,159,163,166,0.81274
SSHRC,Student,1,4,5,2,4,0.01544
SSHRC,Term,27,26,41,44,40,0.17181
SWC,Casual,14,8,12,5,7,0.09603
SWC,Indeterminate,75,84,77,83,78,0.82881
SWC,Student,5,1,1,.,1,0.01670
SWC,Term,4,7,8,4,5,0.05846
TBC,Casual,69,76,76,65,75,0.03924
TBC,Indeterminate,1909,1699,1618,1598,1570,0.91239
TBC,Student,51,49,50,58,37,0.02663
TBC,Term,44,36,34,40,46,0.02174
TC,Casual,126,78,181,275,78,0.02920
TC,Indeterminate,4987,4546,4421,4746,4959,0.93595
TC,Student,83,67,87,91,39,0.01452
TC,Term,174,87,82,93,78,0.02033
TRC,Casual,1,1,.,2,.,0.04167
TRC,Indeterminate,18,13,4,4,.,0.40625
TRC,Term,28,11,11,3,.,0.55208
VAC,Casual,103,155,150,205,337,0.05518
VAC,Indeterminate,3432,3133,2730,2604,2758,0.85136
VAC,Student,81,75,68,66,52,0.01987
VAC,Term,223,239,240,299,266,0.07359
WDO,Casual,5,9,14,10,7,0.02709
WDO,Indeterminate,367,301,274,254,250,0.87056
WDO,Student,20,14,17,15,19,0.05117
WDO,Term,27,11,13,18,16,0.05117
