dept_code,dimension,2017,2018,2019,2020,2021,avg_share
OCOL,cas,4.0,10.0,10.0,14.0,12.0,0.05931198102016608
OCOL,ind,145.0,142.0,144.0,137.0,144.0,0.8446026097271649
OCOL,stu,1.0,3.0,10.0,11.0,11.0,0.042704626334519574
OCOL,ter,5.0,9.0,10.0,11.0,10.0,0.05338078291814947
ODPP,cas,15.0,11.0,14.0,37.0,21.0,0.019204389574759947
ODPP,ind,909.0,908.0,885.0,920.0,978.0,0.9014305310601607
ODPP,stu,5.0,6.0,5.0,7.0,10.0,0.006466784244562022
ODPP,ter,61.0,80.0,87.0,71.0,73.0,0.07289829512051735
OICC,cas,21.0,21.0,38.0,47.0,33.0,0.06247559547051932
OICC,ind,278.0,331.0,421.0,517.0,589.0,0.834049199531433
OICC,stu,17.0,21.0,28.0,26.0,38.0,0.05076142131979695
OICC,ter,13.0,28.0,27.0,27.0,40.0,0.05271378367825068
OPSIC,cas,,2.0,,,,0.015037593984962409
OPSIC,ind,23.0,21.0,24.0,27.0,31.0,0.9473684210526316
OPSIC,na,1.0,,,,,0.007518796992481204
OPSIC,stu,,,1.0,,,0.007518796992481204
OPSIC,ter,,,,,3.0,0.02255639097744361
ORL,cas,,,1.0,2.0,1.0,0.03278688524590164
ORL,ind,24.0,22.0,23.0,23.0,23.0,0.9426229508196721
ORL,ter,,,1.0,1.0,1.0,0.024590163934426226
OSFI,cas,8.0,9.0,6.0,10.0,6.0,0.00992618987019598
OSFI,ind,646.0,680.0,720.0,789.0,836.0,0.934334436243319
OSFI,na,3.0,2.0,,,,0.0012725884448969204
OSFI,stu,12.0,12.0,22.0,30.0,33.0,0.027742428098752867
OSFI,ter,19.0,18.0,21.0,19.0,28.0,0.02672435734283533
PCA,cas,60.0,71.0,56.0,69.0,92.0,0.016022837147198304
PCA,ind,3305.0,3320.0,3396.0,3590.0,3689.0,0.7965375938118697
PCA,na,,17.0,,,,0.0007827248031677332
PCA,stu,87.0,107.0,96.0,101.0,103.0,0.02274506192734472
PCA,ter,524.0,687.0,808.0,759.0,782.0,0.16391178231041945
PCC,cas,8.0,10.0,6.0,5.0,,0.07901907356948228
PCC,ind,50.0,51.0,63.0,62.0,68.0,0.8010899182561307
PCC,stu,3.0,2.0,4.0,6.0,2.0,0.04632152588555858
PCC,ter,6.0,4.0,3.0,7.0,7.0,0.07356948228882834
PCO,cas,57.0,76.0,60.0,46.0,51.0,0.05837359098228663
PCO,ind,655.0,781.0,846.0,851.0,885.0,0.8087761674718197
PCO,stu,22.0,41.0,37.0,41.0,48.0,0.03804347826086956
PCO,ter,65.0,108.0,132.0,73.0,93.0,0.09480676328502416
PHAC,cas,92.0,88.0,124.0,69.0,395.0,0.06197046719922537
PHAC,ind,1908.0,1846.0,1937.0,1956.0,2182.0,0.7931090131525862
PHAC,na,,,1.0,,,8.069071249899137e-05
PHAC,stu,122.0,102.0,138.0,126.0,168.0,0.05293310739933833
PHAC,ter,112.0,123.0,179.0,189.0,536.0,0.09190672153635117
PMPRB,cas,1.0,3.0,4.0,2.0,2.0,0.033057851239669415
PMPRB,ind,67.0,56.0,66.0,68.0,72.0,0.9063360881542698
PMPRB,na,1.0,1.0,1.0,2.0,2.0,0.019283746556473826
PMPRB,stu,,,1.0,,1.0,0.005509641873278236
PMPRB,ter,,1.0,2.0,8.0,2.0,0.035812672176308534
PSC,cas,26.0,37.0,41.0,41.0,16.0,0.03734632335884945
PSC,ind,709.0,723.0,784.0,845.0,792.0,0.8937601484574343
PSC,stu,30.0,30.0,48.0,47.0,21.0,0.040825794479239154
PSC,ter,15.0,19.0,16.0,22.0,49.0,0.028067733704476912
PSEP,cas,98.0,103.0,120.0,67.0,71.0,0.0739368556701031
PSEP,ind,950.0,995.0,1087.0,1098.0,1083.0,0.8397229381443299
PSEP,stu,60.0,64.0,56.0,43.0,52.0,0.044297680412371136
PSEP,ter,41.0,43.0,66.0,61.0,50.0,0.04204252577319588
RCMP,cas,141.0,134.0,127.0,100.0,100.0,0.01581588419199748
RCMP,ind,6150.0,6535.0,6864.0,7279.0,7663.0,0.906155584163098
RCMP,stu,87.0,109.0,155.0,178.0,167.0,0.018285474082442268
RCMP,ter,423.0,462.0,418.0,465.0,506.0,0.05974305756246224
SC,cas,191.0,160.0,119.0,137.0,207.0,0.02257223670345516
SC,ind,4902.0,5063.0,5467.0,5523.0,5649.0,0.7377294659198047
SC,stu,187.0,190.0,271.0,243.0,188.0,0.029920692141312183
SC,ter,1704.0,1301.0,1033.0,1003.0,2524.0,0.20977760523542785
SCC,cas,3.0,9.0,13.0,8.0,5.0,0.033304119193689745
SCC,ind,162.0,160.0,151.0,159.0,158.0,0.6923751095530237
SCC,stu,15.0,15.0,19.0,22.0,17.0,0.077125328659071
SCC,ter,36.0,46.0,42.0,48.0,53.0,0.19719544259421562
SHARE,cas,267.0,335.0,277.0,258.0,240.0,0.04258016636259625
SHARE,ind,4634.0,5176.0,5892.0,6491.0,6866.0,0.8985744766381151
SHARE,stu,87.0,135.0,176.0,239.0,215.0,0.026345898141562824
SHARE,ter,269.0,170.0,183.0,197.0,232.0,0.03249945885772597
SIRC,cas,,3.0,1.0,,4.0,0.04938271604938272
SIRC,ind,18.0,14.0,11.0,18.0,58.0,0.7345679012345679
SIRC,stu,,1.0,,,5.0,0.037037037037037035
SIRC,ter,4.0,7.0,10.0,2.0,6.0,0.17901234567901234
SSHRC,cas,,,,4.0,3.0,0.005608974358974359
SSHRC,ind,172.0,179.0,193.0,226.0,248.0,0.8157051282051282
SSHRC,stu,2.0,2.0,4.0,5.0,5.0,0.014423076923076924
SSHRC,ter,37.0,29.0,47.0,40.0,52.0,0.1642628205128205
SWC,cas,9.0,24.0,55.0,21.0,20.0,0.12977867203219315
SWC,ind,84.0,88.0,110.0,188.0,244.0,0.7183098591549296
SWC,stu,1.0,5.0,8.0,16.0,16.0,0.046277665995975846
SWC,ter,5.0,4.0,8.0,39.0,49.0,0.1056338028169014
TBC,cas,76.0,96.0,109.0,110.0,78.0,0.044450762960856795
TBC,ind,1651.0,1728.0,1825.0,1922.0,2056.0,0.8702492654724672
TBC,na,,,,,1.0,9.477774618519574e-05
TBC,stu,54.0,61.0,68.0,76.0,50.0,0.029286323571225476
TBC,ter,60.0,69.0,123.0,168.0,170.0,0.05591887024926548
TC,cas,128.0,263.0,217.0,264.0,218.0,0.03886887993438647
TC,ind,4522.0,4851.0,5159.0,5265.0,5649.0,0.9073922190921084
TC,stu,62.0,135.0,161.0,164.0,172.0,0.024747708875655243
TC,ter,70.0,113.0,146.0,184.0,300.0,0.028991192097849727
VAC,cas,157.0,86.0,153.0,66.0,76.0,0.033862034239677735
VAC,ind,2382.0,2371.0,2588.0,2718.0,2835.0,0.8115558912386707
VAC,stu,85.0,92.0,114.0,110.0,93.0,0.031092648539778445
VAC,ter,185.0,251.0,304.0,427.0,795.0,0.1234894259818731
VRAB,ind,66.0,69.0,65.0,62.0,61.0,0.769047619047619
VRAB,ter,20.0,16.0,14.0,15.0,32.0,0.23095238095238094
WDO,cas,7.0,11.0,10.0,10.0,22.0,0.036585365853658534
WDO,ind,246.0,243.0,260.0,298.0,299.0,0.8207317073170731
WDO,stu,13.0,22.0,22.0,19.0,20.0,0.058536585365853655
WDO,ter,13.0,26.0,24.0,22.0,53.0,0.08414634146341464
ZGOC,cas,7505.0,8397.0,8984.0,8573.0,9336.0,0.029630250204077963
ZGOC,ind,222474.0,228720.0,239645.0,249973.0,262667.0,0.8332605184099438
ZGOC,na,47.0,59.0,53.0,42.0,29.0,0.0001592465836414986
ZGOC,stu,6281.0,7426.0,8156.0,8852.0,8064.0,0.026849666378407275
ZGOC,ter,26389.0,28969.0,31145.0,33010.0,39505.0,0.11010031842392964
