"DeptCode","ActivityCode","AuthorityType","Expenditures_2015","Expenditures_2016"
"H","ISC00","V",243145581.04,226317472.96
"H","LJR00","S",91866.64,112054.27
"H","LJR00","V",37129564.63,37323630.19
"H","LJS00","S",2394943.97,2211153.65
"H","LJS00","V",18476081.51,17655420.02
"H","LJT00","S",4217750.94,5055880.97
"H","LJT00","V",1134512230.47,1246576384.91
"H","LJU00","S",6872316.42,2216385.66
"H","LJU00","V",665404007.94,779669665.45
"HC","AVA00","S",17110744.67,17084331.82
"HC","AVA00","V",147633381.23,149985628.64
"HC","AVB00","S",128340966.77,124879034.16
"HC","AVB00","V",131246275.72,152945403.75
"HRSD","AMP00","S",61114294.38,66576579.36
"HRSD","AMP00","V",62604881.24,61121244.50
"HRSD","AMQ00","S",2280239500.57,2638629045.20
"HRSD","AMQ00","V",209279500.80,211538383.53
"HRSD","BJJ00","S",94985264.03,91185866.50
"HRSD","BJJ00","V",1492173793.16,1748341616.47
"HRSD","BJK00","S",45963557957.90,48746834800.91
"HRSD","BJK00","V",144850031.82,170723957.63
"HRSD","BKC00","S",8762373455.60,1979589297.62
"HRSD","BKC00","V",198727411.26,260168077.48
"HRSD","DAA00","S",4152858.43,3345807.50
"HRSD","DAA00","V",45106377.69,47527169.42
"HRSD","DAB00","S",17442315.79,15691163.21
"HRSD","DAB00","V",0.00,1944087.79
"HRSD","ISC00","S",53666767.24,58136203.74
"HRSD","ISC00","V",207753610.40,237612403.37
"IDRC","AJS00","V",183478242.00,147474006.00
"IJC","AJU00","S",369956.13,362013.94
"IJC","AJU00","V",4436002.77,4604218.08
"IJC","AJV00","S",116035.93,102100.89
"IJC","AJV00","V",1696727.94,1382290.19
"INAC","AFA00","V",0.00,50000000.00
"INAC","ANC00","S",32076678.52,32559261.25
"INAC","ANC00","V",1262137028.68,1861112386.78
"INAC","ANG00","S",3320902.58,4547970.86
"INAC","ANG00","V",1801813581.59,2141964841.44
"INAC","ANL00","S",4822721.11,4524712.94
"INAC","ANL00","V",417335362.43,443599267.29
"INAC","ANM00","S",2386643.57,2593425.03
"INAC","ANM00","V",27177686.32,30340122.87
"INAC","ANO00","S",1053311.47,1236774.18
"INAC","ANO00","V",146413308.24,156391933.11
"INAC","ANP00","S",4533039.24,5727128.59
"INAC","ANP00","V",176054194.37,164191040.44
"INAC","ANR00","S",1840331.84,1882613.89
"INAC","ANR00","V",1765522838.44,1878753502.83
"INAC","CEA00","S",158922.49,166315.18
"INAC","CEA00","V",50177875.58,49248189.81
"INAC","CKA00","S",4900184.77,4931777.47
"INAC","CKA00","V",172096214.59,561585420.02
"INAC","CKB00","S",60261485.10,73604541.92
"INAC","CKB00","V",997906229.26,778994203.46
"INAC","CKC00","S",589897.96,399273.80
"INAC","CKC00","V",39972732.32,46773164.35
"INAC","CKD00","S",7014996.70,13244684.40
