dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
VAC,cas,155,150,205,337,157,0.06203
VAC,ind,3133,2730,2604,2758,2382,0.84066
VAC,stu,75,68,66,52,85,0.02138
VAC,ter,239,240,299,266,185,0.07593
VRAB,ind,.,.,.,.,66,0.76744
VRAB,ter,.,.,.,.,20,0.23256
WDO,cas,9,14,10,7,7,0.0309
WDO,ind,301,274,254,250,246,0.87114
WDO,stu,14,17,15,19,13,0.05128
WDO,ter,11,13,18,16,13,0.04668
jjj,ind,1100,1110,1144,1141,1128,1
