dept_code,cr_id,planning_year_1,planning_year_2,planning_year_3
PSEP,PSEP-SO1999,49380898,49068961,49182681
GSC,GSC-SO1999,221643915,221602215,221611043
TC,TC-SO1999,150066801,142212187.7,132631667
VAC,VAC-SO1999,73441591,72308921,71051651
WDO,WDO-SO1999,12153056,11424572,11413200
EC,EC-SO1999,194931405,186768159,184465594
FORDQ,FORDQ-SO1999,18345114,18266055,18266879
FEDSO,FEDSO-SO1999,15910153,15900476,0
FTRAC,FTRAC-SO1999,7590930,7207480,7216249
IRB,IRB-SO1999,29881308,29855878,29855878
LAC,LAC-SO1999,27541464,27500464,27400464
LP,LP-SO1999,11571871,11571871,11571871
CFGB,CFGB-SO1999,1815163,1815163,1815163
MPCC,MPCC-SO1999,2294673,2294673,2294673
NEB,NEB-ISS00,18879531,18791809,18791809
NFB,NFB-SO1999,9395019,8037335,8037309
NRC,NRC-SO1999,253702382.27,233818243,192342099
NSERC,NSERC-SO1999,18092408,18036718,17759278
OICC,OICC-SO1999,42454205,43012828,36247211
CEO,CEO-SO1999,38151475,35448730,35731739
SWC,SWC-SO1999,6025008,6025008,6025008
FJA,FJA-SO1999,726800,726800,726800
ORL,ORL-ISS00,1363246,1363246,1363246
OCOL,OCOL-SO1999,6633595,6633595,6633595
OCSEC,OCSEC-SO1999,527480,527480,527480
OEC,OEC-SO1999,6633595,6633595,6633595
OCI,OCI-SO1999,1030053,1030053,1030053
ODPP,ODPP-SO1999,19664086,19271468,19271468
GG,GG-SO1999,19271468,19271468,19271468
OPSIC,OPSIC-SO1999,1890483,1889169,1889169
OSFI,OSFI-SO1999,58633533,59092244,60256146
PCA,PCA-SO1999,150584014,146855208,144522638
NPB,NPB-ISS00,7036548,7037174,7037704
PMPRB,PMPRB-SO1999,2584153,2584153,2584153
PCO,PCO-SO1999,51594601,46133298,45875743
PHAC,PHAC-SO1999,90149394,90145512,90150501
PSC,PSC-SO1999,30150147,30611906,30508917
SCC,SCC-SO1999,11627242,10625063,10631935
RCMP,RCMP-SO1999,792441191,672914049,660338430
SIRC,SIRC-SO1999,1247697,1399700,1402649
SHARE,SHARE-SO1999,158752179,158712649,158612672
SSHRC,SSHRC-SO1999,12188608,12179092,12103067
SC,SC-SO1999,64907611.58,64594630.5,64754098.49
CFDC,CFDC-SO1999,12518235,12518235,12518235
NBC,NBC-SO1999,6262723,5222723,5662723
IPC,IPC-SO1999,9195358,9195358,9195358
EA,EA-SO0585,3539499104,3642085402,3065313496
IDRC,IDRC-SO0671,138705625,138705625,138705625
SIRC,SIRC-SO1181,3773649,3751455,3741455
CIHR,CIHR-SO0251,1059271802,1059946618,1052718846
CFDC,CFDC-SO1261,87935316,87935316,87935316
CAS,CAS-SO0471,52165472,51125948,51173883
HRSD,HRSD-SO0493,160249779,160249779,160249779
NR,NR-SO0852,119568256,104994089,104569636
HRSD,HRSD-SO0491,4752592345,4829546999,4825760876
