fiscal_yr,service_id,program_id
2020-2021,1158,BWB01
2021-2022,1158,BWB01
2018-2019,1159,BWR03
2022-2023,1160,BWR06
2018-2019,1160,BWR03
2019-2020,1160,BWR03
2020-2021,1160,BWR06
2021-2022,1160,BWR06
2022-2023,1161,BWR06
2018-2019,1161,BWR03
2019-2020,1161,BWR03
2020-2021,1161,BWR06
2021-2022,1161,BWR06
2022-2023,1162,BWR06
2018-2019,1162,BWR03
2019-2020,1162,BWR03
2020-2021,1162,BWR06
2021-2022,1162,BWR06
2022-2023,1163,BWR06
2018-2019,1163,BWR03
2019-2020,1163,BWR03
2020-2021,1163,BWR06
2021-2022,1163,BWR06
2022-2023,1164,BWR06
2018-2019,1164,BWR03
2019-2020,1164,BWR03
2020-2021,1164,BWR06
2021-2022,1164,BWR06
2022-2023,1165,BWR06
2018-2019,1165,BWR03
2019-2020,1165,BWR03
2020-2021,1165,BWR06
2021-2022,1165,BWR06
2022-2023,1166,BWR07
2018-2019,1166,BWR07
2019-2020,1166,BWR07
2020-2021,1166,BWR07
2021-2022,1166,BWR07
2018-2019,1167,BWR01
2022-2023,1172,BWB02
2018-2019,1172,BWB02
2019-2020,1172,BWB02
2020-2021,1172,BWB02
2021-2022,1172,BWB02
2022-2023,1173,BSC01
2018-2019,1173,BSC01
2019-2020,1173,BSC01
2020-2021,1173,BSC01
2021-2022,1173,BSC01
2022-2023,1176,BWB02
2018-2019,1176,BWB02
2019-2020,1176,BWB02
2020-2021,1176,BWB02
2021-2022,1176,BWB02
2018-2019,1178,BWR02
2022-2023,1179,BWB02
2018-2019,1179,BWB02
2019-2020,1179,BWB02
2020-2021,1179,BWB02
2021-2022,1179,BWB02
2022-2023,1180,BWB02
2018-2019,1180,BWB02
2019-2020,1180,BWB02
2020-2021,1180,BWB02
2021-2022,1180,BWB02
2018-2019,1182,BWR03
2022-2023,1183,BWB02
2018-2019,1183,BWB02
2019-2020,1183,BWB02
2020-2021,1183,BWB02
2021-2022,1183,BWB02
2022-2023,1187,BSA01
2022-2023,1187,BSB01
2022-2023,1187,BSC01
2018-2019,1187,BSB01
2019-2020,1187,BSA01
2019-2020,1187,BSB01
2019-2020,1187,BSC01
2020-2021,1187,BSA01
2020-2021,1187,BSB01
2020-2021,1187,BSC01
2021-2022,1187,BSA01
2021-2022,1187,BSB01
2021-2022,1187,BSC01
2018-2019,1188,BWR03
2018-2019,1190,BWR03
2018-2019,1193,BWR02
2022-2023,1195,BWB02
2018-2019,1195,BWB02
2019-2020,1195,BWB02
2020-2021,1195,BWB02
2021-2022,1195,BWB02
2018-2019,1196,BWR01
2018-2019,1197,BWR01
2018-2019,1198,BWM01
2018-2019,1199,BWR01
2018-2019,1200,BWW01
2018-2019,1200,BWW02
2018-2019,1200,BWW03
