"dept_code","so_num","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"CI",6,8320000,118000,118000,10282000,675000,675000
"CI",7,30180000,7321000,7321000,31898000,6397000,6397000
"CI",9,43214000,1235000,1235000,37270000,928000,928000
"CI",10,1788066000,538157000,538157000,1356449000,422124000,422124000
"CI",12,20498000,16802000,16802000,25487000,21423000,21423000
"CI",20,-280871000,-80847000,-80847000,-394797000,-124343000,-124343000
"CICS",1,3481195,724660,724660,2924372,577824,577824
"CICS",2,785000,122653,122653,929000,71756,71756
"CICS",3,26500,748,748,45300,300,300
"CICS",4,1107700,140394,140394,1405900,52322,52322
"CICS",5,550000,64083,64083,466000,39719,39719
"CICS",6,12500,382,382,29000,4525,4525
"CICS",7,30000,2985,2985,31000,111,111
"CICS",9,150000,12161,12161,140000,4411,4411
"CICS",12,422,348,348,506,66855,66855
"CIHR",1,51397000,12886000,12886000,42951000,11637000,11637000
"CIHR",2,4701000,675000,675000,5725000,1501000,1501000
"CIHR",3,0,102000,102000,303000,94000,94000
"CIHR",4,5965000,431000,431000,6912000,638000,638000
"CIHR",5,1433000,481000,481000,1559000,483000,483000
"CIHR",6,34000,0,,51000,0,0
"CIHR",7,191000,3000,3000,272000,2000,2000
"CIHR",9,914000,3000,3000,803000,224000,224000
"CIHR",10,1113975000,197123000,197123000,1043857000,188259000,188259000
"CIHR",12,0,628000,628000,0,153000,153000
"CNEDA",1,13120000,2764000,2764000,9346000,2765000,2765000
"CNEDA",2,729000,181000,181000,527000,135000,135000
"CNEDA",3,97000,15000,15000,70000,7000,7000
"CNEDA",4,3159000,191000,191000,2283000,129000,129000
"CNEDA",5,1239000,127000,127000,878000,2000,2000
"CNEDA",6,45000,0,0,35000,2000,2000
"CNEDA",7,73000,14000,14000,53000,12000,12000
"CNEDA",9,12000,1000,1000,9000,0,0
"CNEDA",10,46354000,4184000,4184000,16650000,759000,759000
"CNEDA",12,12000,310000,310000,9000,4000,4000
"CPCC",1,9423000,2194000,2194000,7709000,1879000,1879000
"CPCC",2,2435000,284000,284000,2729000,198000,198000
"CPCC",3,556000,11000,11000,452000,22000,22000
"CPCC",4,8330000,881000,881000,5699000,72000,72000
"CPCC",5,1168000,50000,50000,2271000,64000,64000
"CPCC",6,569000,36000,36000,309000,0,0
"CPCC",7,2512000,73000,73000,701000,9000,9000
"CPCC",9,2013000,14000,14000,3093000,4000,4000
"CPCC",10,5796000,4620000,4620000,6144000,4459000,4459000
"CRTC",1,60853000,14010000,14010000,49301000,12667000,12667000
"CRTC",2,1683000,351000,351000,1809000,291000,291000
"CRTC",3,1381000,265000,265000,1403000,325000,325000
"CRTC",4,6482000,596000,596000,5249000,537000,537000
"CRTC",5,1107000,430000,430000,1069000,239000,239000
"CRTC",6,241000,72000,72000,494000,51000,51000
"CRTC",7,416000,24000,24000,338000,33000,33000
"CRTC",9,1973000,39000,39000,1347000,286000,286000
"CRTC",12,2548000,0,0,3000,4000,4000
"CRTC",20,-61292000,-60507000,-60507000,-49449000,-47623000,-47623000
"CSA",1,19797000,19797000,18882000,18882000,915000,915000
"CSA",2,983000,983000,796000,796000,187000,187000
"CSA",3,432000,432000,561000,561000,-129000,-129000
"CSA",4,8382000,8382000,4304000,4304000,4078000,4078000
"CSA",5,255000,255000,285000,285000,-30000,-30000
"CSA",6,222000,222000,609000,609000,-387000,-387000
"CSA",7,763000,763000,604000,604000,159000,159000
"CSA",9,19655000,19655000,554000,554000,19101000,19101000
"CSA",10,7920000,7920000,13352000,13352000,-5432000,-5432000
"CSA",12,5000,5000,1953000,1953000,-1948000,-1948000
"CSC",1,1824052000,435390000,435390000,1779904000,448216000,448216000
"CSC",2,24631000,4702000,4702000,24502000,4758000,4758000
"CSC",3,621000,139000,139000,538000,161000,161000
"CSC",4,326783000,56626000,56626000,293299000,44057000,44057000
"CSC",5,18093000,3494000,3494000,22629000,4029000,4029000
"CSC",6,23873000,3311000,3311000,23035000,3943000,3943000
"CSC",7,120982000,31500000,31500000,130516000,24148000,24148000
"CSC",8,123125000,11688000,11688000,100588000,11084000,11084000
"CSC",9,61081000,2147000,2147000,84719000,7098000,7098000
"CSC",10,120000,0,0,120000,0,0
"CSC",12,87171000,19253000,19253000,93379000,20226000,20226000
"CSC",20,-124339000,-28501000,-28501000,-108355000,-19057000,-19057000
"CSIS",1,3962000,548000,548000,3989000,693000,693000
"CSIS",2,232000,30000,30000,223000,47000,47000
"CSIS",3,76000,4000,4000,73000,28000,28000
"CSIS",4,465000,87000,87000,447000,103000,103000
"CSIS",5,70000,25000,25000,67000,17000,17000
"CSIS",6,4000,1000,1000,3000,15000,15000
"CSIS",7,29000,3000,3000,28000,2000,2000
