"dept_code","dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year"
"CI","nt",710952,750420,851836,1266426,1497672
"CI","nu",0,260283,247695,215747,345551
"CI","on",359995352,380887852,424567673,501226590,474404461
"CI","pe",4644522,5148302,5265854,5624722,6367223
"CI","qc",378722704,491190369,560249720,843244974,775584022
"CI","sk",29459983,36295752,39611673,39462673,39273036
"CI","yt",459157,768463,953256,992081,997978
"CIHR","ab",79951038,81013770,85404862,90702610,136342608
"CIHR","abroad",1469634,1749027,1829008,2252088,1802730
"CIHR","bc",121173915,121690608,130134999,139907118,168348874
"CIHR","mb",21528999,21092145,17809461,21723661,37013673
"CIHR","na",12673755,11981434,12306369,10997287,12972430
"CIHR","nb",671202,633599,1000832,902201,1321110
"CIHR","nl",4263195,4415699,4693491,3787227,5589889
"CIHR","ns",17155159,16007459,18064305,21689137,31488716
"CIHR","nt",1379600,1684600,1898291,2056690,2388964
"CIHR","nu",0,0,0,350000,700000
"CIHR","on",506521215,518499831,559417201,575949103,713560351
"CIHR","pe",2490170,1238320,798228,1077197,546824
"CIHR","qc",241379273,242624757,237502187,243822770,300852951
"CIHR","sk",13591722,12774092,17024959,19610191,26148194
"CIHR","yt",0,0,0,0,432079
"CNEDA","ab",0,0,0,0,100000
"CNEDA","bc",0,0,0,0,1370000
"CNEDA","na",2819193,2014768,2244483,3216368,20680136
"CNEDA","nl",0,0,800000,945000,100203
"CNEDA","nt",10108814,12368377,8759745,12705852,17926577
"CNEDA","nu",13025465,11988271,9621862,15368056,18681897
"CNEDA","on",1240000,300000,0,746068,1011849
"CNEDA","yt",11454064,12881525,9314627,13774749,19599617
"CPCC","ab",100671,399709,351757,311432,0
"CPCC","abroad",0,0,0,301008,0
"CPCC","bc",240000,779132,352697,432525,0
"CPCC","mb",2792000,125000,566140,178825,0
"CPCC","na",1785828,1799721,1687092,1420647,1462537
"CPCC","nl",249750,564435,412684,0,0
"CPCC","ns",0,347900,342000,254650,0
"CPCC","nt",489743,623093,344370,117473,1163948
"CPCC","nu",447839,664747,100000,0,0
"CPCC","on",807155,2673852,3307173,2569004,970000
"CPCC","qc",189750,1613654,1236529,1286806,419870
"CPCC","yt",0,1117107,250000,0,146509
"CSA","ab",3307187,2857171,3254179,2746158,3101489
"CSA","abroad",34498797,41766413,29977215,36092091,50810467
"CSA","bc",2733203,2168367,4536254,2591708,3075628
"CSA","mb",255400,363683,588155,276562,260000
"CSA","na",1178491,1661236,1880181,1479022,2402752
"CSA","nb",210595,394110,428212,588718,712550
"CSA","nl",108953,0,205476,134643,0
"CSA","ns",100950,347674,714739,688722,607466
"CSA","nt",0,114690,147310,0,0
"CSA","on",8482786,6655512,10506388,10548215,10872583
"CSA","pe",0,0,0,136450,0
"CSA","qc",3277928,3094576,2982677,3348614,6720739
"CSA","sk",1361278,1411724,1010716,951721,1675776
"CSA","yt",0,112794,144989,0,0
"CSC","bc",0,0,0,310000,1419177
"CSC","mb",2613507,189994,115000,0,0
"CSC","na",0,0,715117,1119106,443659
"CSC","on",0,0,0,169395,1744133
"CSC","qc",0,0,276450,815929,0
"CSC","sk",2166569,2068558,762723,119992,120000
"EA","ab",38667722,40954145,37286019,37995128,31074767
"EA","abroad",3291732001,3518193902,3689887507,3703476148,5667116138
"EA","bc",22466091,18556452,18011413,22815804,16589979
"EA","mb",39854569,42071350,43964293,36611177,50535985
"EA","na",30089566,27241604,23620977,32982205,30106716
"EA","nb",4397806,4512260,5109846,4153507,3677017
"EA","nl",466016,108900,570250,399476,384825
"EA","ns",6469588,5008885,5442785,5438512,3408073
"EA","nt",168348,230789,198500,162263,175000
"EA","on",636320360,639206605,747896844,865382448,962211726
"EA","pe",1405628,161078,0,349999,409061
"EA","qc",240139887,238640167,257012133,211329462,251695153
"EA","sk",2279919,3820294,2677387,3704951,2901293
"EA","yt",254770,300918,317480,445581,884639
"EC","ab",10878134,12353022,25235982,64920240,27465564
"EC","abroad",20648379,21679345,26386618,18265231,18069710
"EC","bc",5020157,13953449,27284121,64325388,141091996
"EC","mb",5398125,8427279,7231082,15152614,27729601
"EC","na",28525470,25061996,25779723,27707363,37488480
"EC","nb",711120,884134,6266345,11238123,18973275
"EC","nl",359881,537390,1337296,7283207,10371045
"EC","ns",1019606,2436401,13872539,19607370,23699697
"EC","nt",0,0,3489673,15292164,13461247
"EC","nu",3557087,1502873,1880216,3073888,9296654
"EC","on",63720102,103301415,220365731,136046184,214659059
"EC","pe",0,0,7938400,7810158,8743142
"EC","qc",8643081,7525092,32894664,80880815,75409631
"EC","sk",2426639,2351718,2499791,5294132,21421420
"EC","yt",0,121050,401470,4737503,6839594
"FEDSO","bc",0,0,0,100000,629487
"FEDSO","na",6794357,7211741,1458815,5652372,35775506
"FEDSO","nb",0,0,0,0,250000
"FEDSO","on",187051492,212893953,205745054,227247418,616838585
"FEDSO","qc",0,0,0,0,1500000
"FIN","ab",5749880802,5994939053,6099687787,6700783876,9520974015
"FIN","abroad",492820000,492946500,492810000,489700000,461134693
"FIN","bc",6497001514,6718276415,7267424763,7498707728,10443025794
"FIN","mb",3536809791,3689523514,3970694792,4279988182,5198512449
"FIN","na",10000,46778,45500,0,405867
"FIN","nb",2742415546,2824030266,2988099546,3172154330,3681689256
"FIN","nl",734806782,749078644,762626433,780890131,1483601427
"FIN","ns",3063649681,3147883733,3397622681,3362502681,4029175699
"FIN","nt",1280820959,1294915333,1321029926,1376035317,1516970197
"FIN","nu",1538551483,1583036132,1632759456,1698805750,1806034075
"FIN","on",21375592388,21227538471,21284197387,21490797387,29033200303
"FIN","pe",583476541,604004505,636058541,651667541,773596969
"FIN","qc",16915710820,18046702661,18555579404,19732454163,24702910441
"FIN","sk",1563810952,1623190554,1647250932,1757217355,2630287261
"FIN","yt",945611284,973925457,1009545183,1057794832,1153211812
"FO","ab",291763,146427,831699,3298851,1551801
"FO","abroad",100000,109140,1998953,5187139,6085492
"FO","bc",44093528,58495088,75939645,93385329,117208253
"FO","mb",1270966,1303316,3680482,5801751,4654645
"FO","na",13104014,15159899,21502773,26732105,159552571
"FO","nb",10243734,9900672,21570610,50406298,23814184
"FO","nl",2878118,5749811,12835795,17708046,20166159
"FO","ns",11319110,16200349,18717342,24150482,38858673
"FO","nt",1256925,2173347,2482007,3077238,2657098
"FO","nu",298000,869231,1583398,1713942,2977959
"FO","on",3296666,6061341,6720245,12919899,12791328
"FO","pe",1746623,2176202,3644590,6252311,7717860
"FO","qc",8856922,9428605,12802213,27376216,21469216
"FO","sk",541623,827500,796925,667480,1340842
"FO","yt",254300,261500,268700,380228,417300
"FORDQ","na",24378482,28430226,20806448,22249795,36749310
"FORDQ","on",0,256202,0,0,0
"FORDQ","qc",250047194,238139356,229048392,256587820,465058211
"GG","mb",141867,143814,146332,149484,152091
"GG","on",354668,431728,512163,523193,532319
"GG","qc",70934,71907,73167,74741,105293
"GSC","ab",26857996,27953701,28949381,29196049,28729525
"GSC","bc",53301747,52375480,51803907,52036203,46368622
"GSC","mb",29763597,22578338,22570894,22928244,23616966
"GSC","na",-552093577,-558607534,-552130025,-549194467,-508746399
"GSC","nb",27818755,27487007,27471935,27850834,27803478
"GSC","nl",6788333,6483071,6449927,6536711,6675379
"GSC","ns",53046628,36664904,35645201,36370057,37836124
"GSC","nt",2958466,2993301,2956690,3165706,3082647
"GSC","nu",1200976,1175860,973942,1355192,1432082
"GSC","on",204241772,202821503,191770041,189142914,194139661
"GSC","pe",3383857,3408940,3412538,3262552,3283937
"GSC","qc",164004840,170233687,165613156,166035423,159676039
"GSC","sk",8976043,9969517,10006810,10372116,10424308
"GSC","yt",1205612,1252208,1278346,1266996,1292579
"H","ab",185264637,161007991,131617244,137285013,172237847
"H","abroad",0,0,0,0,100000
"H","bc",468700906,368811549,152142491,158608340,219033028
"H","mb",221325448,199505530,36612825,43622333,54623056
"H","na",18605682,21340042,912440,1314891,1923181
"H","nb",25233360,19143659,26207121,28738819,38190210
"H","nl",18403379,9865295,13613759,17873385,22892250
"H","ns",28337284,17272848,25706335,29377397,46273565
"H","nt",36935443,27915404,9037277,9489647,13875649
"H","nu",74483208,47961093,14000000,14380671,14634846
"H","on",510514941,496870923,641460253,707997509,842412720
"H","pe",3773989,2124775,4225607,4985069,12926944
"H","qc",241376661,215380189,317120459,359715938,394742410
"H","sk",189363738,129234080,32184949,36697214,45246869
