dept_code,so_num,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year_1
CFGB,3,8297.09,8400.16,10360.72,14704.75,15833.7
CFGB,4,294102.51,324301.32,337984.83,420984.74,483327.01
CFGB,5,499947.55,524451.49,577196.08,615911.85,496494.49
CFGB,6,15289.22,24413.1,32220.57,27488.259999999995,14467.93
CFGB,7,13490.15,7149.12,13163.01,8466.38,10577.95
CFGB,8,,,,20875.55,
CFGB,9,132833.0,142317.93,31924.48,81980.55,72910.55
CFGB,12,1345.51,16412.31,-283.81,4018.5599999999995,-775.2900000000002
CFIA,1,648783274.37,661575030.88,701194171.52,753870166.63,775165868.29
CFIA,2,5939428.56,7112065.74,18206571.009999998,13842788.88,10697586.19
CFIA,3,4159685.43,5172226.79,5303418.05,4915799.91,5135892.38
CFIA,4,67858359.02,75525194.81,90873011.19,122185627.01,106481904.23
CFIA,5,11720210.92,10047899.94,11362017.13,11700167.26,9056776.85
CFIA,6,9001414.64,9469064.74,11055521.58,11283281.55,11580403.43
CFIA,7,20038868.69,20531031.3,26463780.23,21372477.66,19883283.89
CFIA,9,25724932.31,20638459.16,18653663.6,23236772.88,21782722.29
CFIA,10,10940244.379999999,4937017.08,120800639.09,112728953.47,76237815.92999999
CFIA,12,5397200.49,9440843.48,4532656.99,4185450.2600000002,3726716.23
CGC,1,49134323.01,48597888.82,48991896.68,57109043.19,56760927.2
CGC,2,1878586.3699999999,1577941.7,2508346.26,2679873.25,2754790.38
CGC,3,326015.94,184396.25,512506.96,145762.76,226433.22
CGC,4,2772849.85,3555562.55,3226633.13,3276037.5100000002,3096014.5
CGC,5,5974128.7700000005,6285228.7,5851472.71,6158582.97,6004961.199999999
CGC,6,724452.07,962068.93,1989573.8099999998,2525893.4299999997,3930318.4
CGC,7,1452433.62,1305964.28,1151760.78,1079414.09,1184181.08
CGC,9,4706221.62,3861987.84,2832724.59,3367542.44,2611474.33
CGC,12,200093.80000000002,72798.33,-20314.419999999995,-29649.409999999996,-85372.69
CGC,21,-78642299.28999999,-49824615.410000004,-43474124.050000004,-50621387.35,-59213969.08
CGC,22,-372712.14,-533107.92,-482742.27,-371056.34,-384773.88
CH,1,206862624.75,215727194.58,235188732.35,244862862.71,243057969.58
CH,2,786127.32,1772186.11,3107164.3,3757896.42,3594491.36
CH,3,2831082.8400000003,4995864.51,2691159.3,2420495.33,2834027.72
CH,4,28388714.63,35890468.269999996,34587097.43,31917669.24,30925564.28
CH,5,3116130.86,4170687.31,5610324.93,5835121.4399999995,5989791.66
CH,6,1324636.88,1562787.79,1367434.8,1723982.94,1601290.89
CH,7,2445238.37,2379603.99,1902663.56,2065765.27,1443743.1
CH,9,5596865.48,3292036.86,876951.23,2748825.28,2021569.02
CH,10,1717426114.0900002,1742352100.8999999,2005766812.73,1866813433.78,1859294976.95
CH,12,836559.7900000005,1239614.5799999991,20624806.040000003,741119.8899999993,634037.2
CH,21,-5057024.44,-5831262.38,-7748684.699999999,-7283812.430000001,-7371998.220000001
CH,22,-3014824.5,-1017104.75,-3419424.97,-3142058.33,-3375489.06
CHRC,1,27657942.36,31175024.349999998,33868554.65,38766515.51,38877362.08
CHRC,2,217289.35,174285.82,360822.09,424290.16,242562.21
CHRC,3,462104.58999999997,422093.68,354097.67,535257.88,184058.86000000002
CHRC,4,3083722.83,4508413.35,4735872.77,5057078.37,2740664.45
CHRC,5,450156.65,594610.17,641931.83,887871.27,839412.61
CHRC,6,39806.090000000004,26785.1,37378.85,56905.3,27267.5
CHRC,7,108119.8,97488.97,99387.1,111926.28,43757.19
CHRC,8,,11587.2,54964.2,33870.8,
CHRC,9,570074.97,527584.0,1178035.95,1035034.76,550394.47
CHRC,12,45893.37,67618.0,61379.45,74170.61,43634.329999999994
CHRC,22,-1635950.95,-1818640.6,-2039765.42,-2104447.62,-1985021.97
CI,1,825941619.9399999,901715172.86,1056045863.85,1371546939.66,1323200527.35
CI,2,9642673.56,25208273.880000003,78276632.03,81570356.17999999,75924839.96000001
CI,3,8394143.69,13947396.69,16782896.89,12638145.229999999,11817272.33
CI,4,587882436.9000001,800692851.99,1333038724.1299999,1629814626.8400002,1757575820.18
CI,5,28866191.27,71297651.03,218742847.6,434040971.77,275514390.77
CI,6,5259328.44,2059944.2,2564186.51,2376458.47,1145302.34
CI,7,16269034.109999998,23572042.69,72919669.14999999,42638118.49,75011762.07000001
CI,8,,,,26414.96,
CI,9,17365565.31,9650521.09,19135649.29,18848107.31,7824502.22
CI,10,1699198193.17,1771143168.1100001,2800540102.81,2993638275.87,3572858381.7599998
CI,12,13680594.93,19791717.77,23884051.73,23356362.89,28371140.889999997
CI,21,-50867905.45,-184610226.78,-408969820.72,-613454483.03,-616762391.33
CI,22,-2059825.41,-3195233.97,-3843833.72,-2784978.37,-3941652.64
CICS,1,3011822.05,2984982.9999999995,3453073.1599999997,4447294.98,4957294.489999999
CICS,2,98040.15,167880.94,805734.5700000001,780787.21,776249.72
CICS,3,35543.2,21783.38,21098.2,28257.98,16937.05
CICS,4,1015153.28,1345290.13,1281611.6,1618417.96,1776764.1
CICS,5,456512.39999999997,296557.26,514920.69999999995,491986.27,523050.8
CICS,6,1155.0,480.0,,3561.86,
CICS,7,6576.42,16922.85,51363.91,145295.87,16719.41
CICS,9,38797.32,58737.53,157516.44,411497.14,49214.770000000004
CICS,12,1643.06,1139.58,14500.04,-4431.38,8678.81
CIHR,1,57600505.97,62413655.42,69174131.61,81449508.9,78574789.22999999
CIHR,2,279854.96,215683.11,517197.39,624743.64,447915.51
CIHR,3,461102.2,423268.28,789058.4,261323.3,628638.53
CIHR,4,2377643.68,3447434.4,4714570.51,4284354.89,2686296.46
CIHR,5,1607672.21,1737216.4,2124891.88,3253347.8,3505059.93
