program_id,tag_id
INAC-BWM02,MOD002
EA-BVF03,MOD020
EA-BVC07,MOD019
TC-BTY01,MOD019
HRSD-BGO20,MOD004
HRSD-BGO03,MOD008
FTRAC-BUX02,MOD021
AGR-BWP05,MOD005
NR-BTL11,MOD021
PCA-BGW11,MOD001
ND-BUP03,MOD001
CCRA-BRA10,MOD019
INDSC-BXM03,MOD005
CTAIB-BWA03,MOD019
NRC-BNQ14,MOD020
EA-BVD08,MOD005
HRSD-BGM13,MOD008
INAC-BWR10,MOD004
CFIA-BUH12,MOD001
AGR-BWN06,MOD019
EC-BGT04,MOD019
PCA-BGW01,MOD005
EA-BVF08,MOD020
PHAC-BVQ03,MOD021
TC-BTW24,MOD021
JUS-BNY01,MOD020
AGR-BWN02,MOD005
EA-BZB02,MOD020
JUS-BNX01,MOD020
EC-BGS03,MOD005
EA-BZA03,MOD005
FTRAC-BUW02,MOD020
VAC-BWJ02,MOD019
PCA-BGW01,MOD001
EA-BVC03,MOD019
SWC-BXRO4,MOD005
NR-BTM08,MOD019
NEB-BXY02,MOD005
EA-BVC07,MOD002
CH-BSG01,MOD019
PSEP-BVS02,MOD021
INDSC-BXL03,MOD019
ISC-BNP15,MOD001
NR-BTM09,MOD001
IPC-BRG02,MOD001
WDO-BNW03,MOD005
VAC-BWI18,MOD005
HRSD-BGP02,MOD001
EC-BGR01,MOD005
CEO-BYI02,MOD019
PCA-BGW13,MOD019
TC-BTW07,MOD021
INAC-BWM10,MOD004
FIN-BUV10,MOD008
NR-BTL06,MOD019
NR-BTO03,MOD001
INDSC-BXP07,MOD005
ND-BUO04,MOD021
ND-BUR02,MOD019
PHAC-BVR03,MOD001
CSC-BUJ04,MOD021
NEB-BXV02,MOD001
H-BVH17,MOD020
PSEP-BVT03,MOD002
ISC-BNP12,MOD001
FO-BTF06,MOD019
INDSC-BYP18,MOD005
WDO-BYM02,MOD004
AGR-BWP11,MOD005
CSC-BUL03,MOD021
OICC-BYD01,MOD002
ND-BUQ07,MOD021
FIN-BUV05,MOD002
ND-BUQ05,MOD020
NSERC-BNR03,MOD004
CCRA-BRA12,MOD001
SHARE-BYE01,MOD020
CH-BSE04,MOD004
PHAC-BVQ03,MOD019
HRSD-BGP05,MOD001
H-BVH13,MOD001
NR-BTM04,MOD019
ND-BUP09,MOD001
FO-BTF03,MOD001
EC-BGS06,MOD019
ND-BUP05,MOD020
ISC-BNP04,MOD019
CASDO-BXZ01,MOD004
INAC-BWM06,MOD005
ND-BUS12,MOD021
CH-BSH01,MOD005
ND-BUQ08,MOD021
OICC-BYC04,MOD005
TC-BTW08,MOD002
LDC-BXK01,MOD002
HRSD-BGM05,MOD008
FEDNO-BYL01,MOD004
TBC-BXC01,MOD002
CNEDA-BNL04,MOD002
CSA-BLM03,MOD019
LAC-BSI03,MOD019
EA-BVB01,MOD019
H-BVH06,MOD019
CH-BSH01,MOD004
ACOA-BED07,MOD019
HRSD-BGN01,MOD019
EA-BZA03,MOD004
PSEP-BVT05,MOD004
EA-BVD02,MOD020
CCRA-BRA03,MOD001
FO-BTH02,MOD019
LAC-BSI04,MOD001
NR-BTO02,MOD001
NR-BTL09,MOD004
GSC-BVY01,MOD020
EA-BZA02,MOD002
IRB-BGC02,MOD001
CCRA-BRA06,MOD019
NR-BTL10,MOD001
JUS-BNX03,MOD020
ISC-BNP09,MOD002
CTA-BTT01,MOD019
ISC-BNP07,MOD005
ATSSC-BEE01,MOD020
FO-BTG01,MOD005
NEB-BXT02,MOD001
JUS-BNY04,MOD005
H-BVG03,MOD019
LCC-BYO01,MOD002
PCA-BGW10,MOD002
WDO-BYM03,MOD004
NRC-BNQ11,MOD019
INAC-BWM04,MOD004
CFGB-BUZ01,MOD001
ACOA-BED01,MOD005
EC-BGR04,MOD005
RCMP-BXH06,MOD020
CAS-BEG03,MOD019
OCI-BVL01,MOD001
ND-BUN01,MOD021
EA-BVC02,MOD001
HRSD-BGO06,MOD005
WATER-BYR02,MOD005
CCRA-BRA11,MOD019
CSEC-BUM03,MOD021
INDSC-BXP12,MOD001
TC-BTX03,MOD002
NEB-BXU02,MOD019
CI-BGE07,MOD004
SCC-BRH01,MOD019
GSC-BVV03,MOD002
EA-BVC05,MOD019
NRC-BNQ02,MOD019
H-BVH03,MOD001
ND-BYX05,MOD019
H-BVH09,MOD005
JUS-BNY06,MOD004
CI-BGF01,MOD019
CEAA-BGV02,MOD001
OICC-BYT06,MOD005
CTAIB-BWA01,MOD019
HRSD-BGM08,MOD005
JUS-BNY08,MOD004
HRSD-BGP06,MOD004
SSHRC-BNU01,MOD004
PCA-BGW06,MOD019
ND-BUP09,MOD002
AECB-BTJ03,MOD001
EC-BGR05,MOD005
CEO-BYJ01,MOD021
ISC-BNP11,MOD001
CRTC-BRT03,MOD001
ISC-BNP05,MOD019
SIRC-BXW01,MOD021
LAC-BSI04,MOD019
EA-BVF07,MOD019
ND-BYY03,MOD019
HRSD-BGO07,MOD005
TBC-BXB04,MOD002
SHARE-BYE07,MOD020
HRSD-BGO23,MOD005
NEB-BXU01,MOD001
NR-BTL05,MOD019
TC-BTW16,MOD021
CFIA-BUH06,MOD019
H-BVG14,MOD005
H-BVH02,MOD001
EA-BVD09,MOD005
ND-BUP10,MOD019
ND-BUS08,MOD021
JUS-BNY03,MOD005
INAC-BWR09,MOD019
HRSD-BGM10,MOD005
FO-BTF07,MOD021
NR-BTM09,MOD005
NRC-BNQ08,MOD005
H-BVG23,MOD005
PCA-BGW03,MOD005
HRSD-BGO09,MOD005
ACOA-BED02,MOD019
RCMP-BXH04,MOD021
FCAC-BUT01,MOD001
PCO-BWW04,MOD002
OCOL-BGI01,MOD019
H-BVH14,MOD019
EA-BVD07,MOD004
NSERC-BNR02,MOD004
CI-BGE05,MOD005
HRSD-BGO22,MOD005
FIN-BUV04,MOD001
CSC-BUK09,MOD021
CCRA-BRA02,MOD001
TC-BTW20,MOD001
ND-BUS09,MOD021
EC-BGS03,MOD019
EA-BZB03,MOD020
CSA-BLM02,MOD005
CRTC-BRT02,MOD001
HRSD-BGO29,MOD005
CBSA-BUF06,MOD021
PCA-BGW04,MOD005
PCAN-BYK01,MOD004
OICC-BTK04,MOD008
ND-BUO08,MOD021
WDO-BNW01,MOD004
TC-BTY03,MOD019
OICC-BTK11,MOD005
SC-BNV01,MOD019
EA-BVD05,MOD004
INDSC-BXP11,MOD004
NRC-BNQ16,MOD019
ISC-BNP13,MOD019
INAC-BWM15,MOD004
INDSC-BXP10,MOD005
EC-BGU01,MOD019
JUS-BNY08,MOD005
TBC-BXC02,MOD002
TC-BTW03,MOD021
FORDQ-BLL04,MOD004
NR-BTL08,MOD019
NR-BTL01,MOD019
OICC-BYT04,MOD004
JUS-BNY05,MOD005
EA-BVB07,MOD019
AGR-BWN01,MOD019
INAC-BWR04,MOD004
EC-BGT05,MOD001
AGR-BWP11,MOD004
ND-BUP06,MOD020
EC-BGU04,MOD001
PSEP-BVT06,MOD004
OSFI-BVN01,MOD001
HRSD-BGO05,MOD019
CI-BGE06,MOD005
NRC-BNQ04,MOD019
ND-BUS02,MOD020
ND-BYY01,MOD019
CIHR-BUI02,MOD004
CFIA-BUH06,MOD001
EA-BZA05,MOD002
EA-BZB01,MOD019
CH-BSE01,MOD004
ISC-BNP14,MOD001
INDSC-BXL01,MOD005
NRC-BNQ28,MOD019
TBC-BXC08,MOD002
OICC-BYD05,MOD002
PHAC-BVQ02,MOD005
NR-BTL10,MOD021
CHRC-BSA01,MOD019
PHAC-BVP04,MOD004
HRSD-BGM10,MOD004
HRSD-BGO31,MOD004
EA-BVD15,MOD005
PHAC-BVP01,MOD004
VAC-BWJ02,MOD004
INDSC-BYP13,MOD005
INDSC-BXM11,MOD005
HRSD-BGO18,MOD008
EC-BGT07,MOD005
PSEP-BVU03,MOD002
RCMP-BXG06,MOD021
TC-BTW27,MOD021
SHARE-BYE05,MOD020
INAC-BWM16,MOD004
CEO-BYJ02,MOD019
NRC-BNQ20,MOD020
H-BVH08,MOD019
PCAN-BYK02,MOD004
VAC-BWI07,MOD008
TBC-BXB08,MOD002
TC-BTY04,MOD005
TC-BTW07,MOD001
FORDQ-BLL03,MOD005
INDSC-BYP19,MOD005
MPCC-BVJ01,MOD002
RCMP-BXH07,MOD021
PCA-BGW08,MOD021
WDO-BYM01,MOD005
ND-BUO01,MOD021
PCA-BGW14,MOD019
EC-BGT01,MOD005
NPB-BUC01,MOD001
PCA-BGW12,MOD005
HRSD-BGO22,MOD004
IRB-BGC03,MOD001
INDSC-BXP13,MOD001
NBC-BFO01,MOD019
AGR-BWP06,MOD008
H-BVG01,MOD005
HRSD-BGO01,MOD019
AGR-BWO01,MOD019
OICC-BYC02,MOD005
INAC-BWR11,MOD004
TBC-BXB06,MOD002
ND-BUP05,MOD019
VAC-BWI18,MOD004
EA-BVF10,MOD020
H-BVG04,MOD008
PSC-BWB05,MOD002
TBC-BXC06,MOD002
H-BVG16,MOD005
NR-BTL03,MOD019
ISC-BNP12,MOD019
INAC-BWM13,MOD005
CAS-BEG05,MOD020
CCRA-BRA08,MOD019
AGR-BWP02,MOD004
ND-BYX02,MOD019
RCMP-BXI04,MOD021
OSFI-BVN04,MOD001
PSC-BWB03,MOD002
PHAC-BVP03,MOD005
LAC-BSI01,MOD001
TC-BTW06,MOD020
NFB-BYZ02,MOD019
OICC-BYT01,MOD004
RCMP-BXI02,MOD021
OICC-BYB03,MOD005
NRC-BNQ06,MOD005
NR-BTM12,MOD019
TBC-BXB13,MOD002
HRSD-BGM04,MOD004
CAS-BEG04,MOD020
ISC-BNN05,MOD005
EA-BVB06,MOD019
CI-BGD03,MOD019
CFIA-BUH03,MOD001
OICC-BYT02,MOD005
ISC-BNP17,MOD005
INAC-BWM07,MOD005
FO-BTF01,MOD001
INDSC-BYP01,MOD005
HRSD-BGP07,MOD001
HRSD-BGO28,MOD019
INAC-BWR08,MOD005
VAC-BWK01,MOD019
PCO-BWW08,MOD002
OCI-BVL01,MOD002
WDO-BNW02,MOD004
PCO-BWW09,MOD002
ND-BUN03,MOD021
FORDQ-BLL03,MOD004
EA-BZA05,MOD021
PCAN-BYK02,MOD005
ND-BYY05,MOD019
FO-BTF05,MOD001
CH-BSE01,MOD005
EC-BGR04,MOD001
GSC-BVV01,MOD020
TC-BTW15,MOD005
CSC-BUL02,MOD021
AECB-BTJ01,MOD001
CH-BSD01,MOD004
CH-BSF01,MOD004
ISC-BNP11,MOD019
EC-BGS06,MOD005
CFIA-BUH11,MOD019
ACOA-BED06,MOD019
PCAN-BYK04,MOD005
SWC-BXRO4,MOD004
JUS-BNX02,MOD020
OCOL-BGH01,MOD001
ISC-BNP13,MOD001
ND-BUO05,MOD021
FO-BTF13,MOD004
SWC-BXR06,MOD002
H-BVG22,MOD004
RCMP-BXG05,MOD021
EC-BGT02,MOD005
CEAA-BGV01,MOD002
CAS-BEG02,MOD020
ND-BUS07,MOD019
IRB-BGC01,MOD001
H-BVG08,MOD002
TBC-BXB12,MOD002
CAS-BEG04,MOD019
