"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"SWC","AEX00",1934294,2141397,".",".",".",".",".",".",".",".",".",".",".","."
"SWC","CCA00",".",".",2177213,2189159,2286900,2004692,2142013,1852185,3526759,2890415,3153970.00,3153970.00,3153970.00,2144659.00
"SWC","CCB00",".",".",24369664,22750591,24267723,22783283,24032689,22459620,25840651,25199902,28798443.00,28110492.00,27809524.00,25341251.00
"SWC","ISC00",4309554,5120989,5440044,6482533,3772944,5337769,4977706,5230596,6970323,7179299,6025008.00,6025008.00,6025008.00,4250414.00
"TBC","BJV00",3718184743,2500372807,4124513261,2629221633,4905924725,2898360909,5941211076,3852630170,4936924721,2746401897,".",".",".",6333254397.00
"TBC","BKG00",64764130,58544372,58648770,57875343,57678755,54481225,".",".",".",".",".",".",".","."
"TBC","BKH00",62252686,60974838,58581776,57834089,139264938,128785777,".",".",".",".",".",".",".","."
"TBC","BKI00",33879469,31046559,36724338,35573464,31548046,30431157,".",".",".",".",".",".",".","."
"TBC","BKJ00",33961841,30866718,32869903,31291934,31429596,31231325,".",".",".",".",".",".",".","."
"TBC","BXA01",".",".",".",".",".",".",".",".",".",".",27605907.00,27605907.00,27605907.00,"."
"TBC","BXA02",".",".",".",".",".",".",".",".",".",".",11479616.00,11479616.00,11479616.00,"."
"TBC","BXA03",".",".",".",".",".",".",".",".",".",".",3958266.00,3958266.00,3958266.00,"."
"TBC","BXA04",".",".",".",".",".",".",".",".",".",".",3553193000.00,3553193000.00,3553193000.00,"."
"TBC","BXB01",".",".",".",".",".",".",".",".",".",".",27917875.00,27917875.00,27917875.00,"."
"TBC","BXB02",".",".",".",".",".",".",".",".",".",".",12617902.00,11353013.00,10989258.00,"."
"TBC","BXB03",".",".",".",".",".",".",".",".",".",".",18638215.00,18638215.00,18638215.00,"."
"TBC","BXB04",".",".",".",".",".",".",".",".",".",".",2590279.00,2590279.00,2590279.00,"."
"TBC","BXC01",".",".",".",".",".",".",".",".",".",".",21980683.00,20959893.00,20959893.00,"."
"TBC","BXC02",".",".",".",".",".",".",".",".",".",".",8640025.00,9069296.00,8696195.00,"."
"TBC","BXC03",".",".",".",".",".",".",".",".",".",".",2738570604.00,2736661396.00,2736661397.00,"."
"TBC","BXC04",".",".",".",".",".",".",".",".",".",".",24454948.00,22917259.00,22917259.00,"."
"TBC","BXD01",".",".",".",".",".",".",".",".",".",".",4626256.00,4626256.00,4626256.00,"."
"TBC","BXD02",".",".",".",".",".",".",".",".",".",".",36744.00,36744.00,36744.00,"."
"TBC","DAC00",".",".",".",".",".",".",44582570,41781563,47860798,46426488,".",".",".",50579534.91
"TBC","DAD00",".",".",".",".",".",".",67999885,65041366,73070813,70832094,".",".",".",68090605.55
"TBC","DAE00",".",".",".",".",".",".",134545152,90757746,192795583,127193033,".",".",".",53256595.35
"TBC","ISC00",90074910,80220719,88581476,80724486,89329995,78399289,82329228,77677897,80224405,73355122,".",".",".",65624896.30
"TBC","ISS01",".",".",".",".",".",".",".",".",".",".",13467348.00,14655325.00,14615323.00,"."
"TBC","ISS02",".",".",".",".",".",".",".",".",".",".",9648982.00,9648982.00,9648982.00,"."
"TBC","ISS03",".",".",".",".",".",".",".",".",".",".",11858327.00,11858327.00,11858327.00,"."
"TBC","ISS04",".",".",".",".",".",".",".",".",".",".",10182288.00,10139031.00,10128237.00,"."
"TBC","ISS05",".",".",".",".",".",".",".",".",".",".",8819818.00,8819818.00,8819818.00,"."
"TBC","ISS06",".",".",".",".",".",".",".",".",".",".",4773723.00,4285356.00,4246470.00,"."
"TBC","ISS07",".",".",".",".",".",".",".",".",".",".",11636907.00,10902159.00,10902159.00,"."
"TBC","ISS08",".",".",".",".",".",".",".",".",".",".",12811778.00,2352064.00,2352064.00,"."
"TBC","ISS09",".",".",".",".",".",".",".",".",".",".",1257396.00,1257396.00,1257396.00,"."
"TBC","ISS0Z",".",".",".",".",".",".",".",".",".",".",1094477.00,960292.00,960292.00,"."
"TC","BAY00",9698871,9041585,12148273,11917295,27650224,28290806,25633462,26968970,25071391,22863304,23746340.00,23297118.00,21997076.00,21711678.00
"TC","BAZ00",1056826317,395779632,554761988,336988453,711748677,448362484,573185796,405981642,259532214,158636456,114474688.00,6655700.00,81105.00,259603003.00
"TC","BBC00",330764135,309656203,392219269,363848205,497706340,455366393,460209499,412254667,477401056,407475290,488050696.00,357400599.00,355598936.00,415437562.00
"TC","BBD00",13553478,9471905,12804034,12885608,".",".",".",".",".",".",".",".",".","."
"TC","BBH00",25117461,18760359,39195642,27755589,31358409,24011027,30427629,16606208,34380387,21245675,27911832.00,2093342.00,1840519.00,12017045.00
"TC","BBI00",7052230,6947514,10675404,16198195,28553438,24421705,33223348,26686601,27036666,24307579,18410376.00,15245705.00,15252322.00,29181758.00
"TC","BBN00",45885179,20059193,31946389,29431954,43124602,44745522,39539314,42227322,61411655,35517316,56475221.00,41368281.00,39383852.00,13132224.00
"TC","BBO00",227351265,198628602,195696597,184628770,189711582,188941065,197300810,181487089,176170682,160176146,185527899.00,188785608.00,173351468.00,179090581.00
"TC","BBU00",65402551,56492575,62799288,59638305,69597720,69847859,64208442,66315354,63914519,60034090,55107933.00,52515676.00,52548345.00,56814328.00
"TC","BCK00",37180660,34213510,33433901,29250946,36881268,35333175,112585225,110551604,38003423,32879827,52895273.00,53204372.00,34790823.00,35124187.00
"TC","BCN00",24220865,22458347,25983561,26152233,24090043,25940392,26544112,23671194,27872261,24739225,30597609.00,20405326.00,19561550.00,22077988.00
"TC","BCO00",13411637,12756370,14771723,14663095,21122353,22740646,18146685,26620570,31095107,27864018,38374885.00,40745822.00,15268907.00,15841719.00
"TC","BCQ00",36945384,33706392,33036940,29743295,35624038,32722389,31592193,29041124,27047609,25610408,29541304.00,29151327.00,29179771.00,29781105.00
"TC","BCR00",18806942,14005041,13833124,12331970,14765418,14429160,13123766,12260662,12132442,11490828,13123176.00,13021025.00,12631589.00,12950665.00
"TC","BCT00",5106147,3967849,4733046,4280788,5099930,5096531,4835770,5049956,5251516,5105315,6510672.00,6515851.00,4516816.00,4586439.00
"TC","CHA00",".",".",11649104,10722526,18322753,19315574,13166104,19771236,19018520,17742722,12017844.00,11748001.00,10738317.00,11363639.00
"TC","ISC00",204466765,186533092,168913569,170195608,162567859,165516583,160778067,163632863,166387615,155470585,150066801.00,142212187.70,132631667.00,147193676.00
"TOUR","AOB00",72032802,71495802,57975770,57975770,57975770,57975770,62975770,62975770,95475770,95475770,95475770.00,95475770.00,95475770.00,"."
"TRC","BJW00",10830583,8527534,9887181,4300396,8955526,4205100,5059245,4530570,".",".",".",".",".","."
"TRC","ISC00",4627375,3290781,3445609,2561000,1789637,1789637,1451407,1451363,".",".",".",".",".","."
"VAC","BBX00",1148820279,1095616261,1200658912,1118351751,1121838509,1026146338,1111534620,1070454796,1204053150,1155509888,1141330144.00,1067159666.00,1039218459.00,1089248862.00
"VAC","BCJ00",6157080,5073438,6200073,4953006,5312011,4578484,5230086,4600441,5205392,4630182,5234308.00,5234308.00,5234308.00,5306217.00
"VAC","BCX00",49586867,42969111,52426475,41150530,54111348,45528370,51847344,50028142,59508363,55553811,45585347.00,41494828.00,41418428.00,46317506.00
"VAC","BNC00",2250875361,2141827143,2167432413,2099828254,2100661441,2017365900,2177985649,2143780278,2150227883,2108339210,2853756218.00,2018239398.00,2007365913.00,2141757279.00
"VAC","BND00",123031255,120356006,179928633,163442979,245424228,205167882,249709414,246513877,408183507,365983197,572051974.00,501353032.00,515221186.00,278039229.00
"VAC","ISC00",80688521,80385882,73330913,85846369,78092980,78092980,79656670,79656670,87252281,80792453,73441591.00,72308921.00,71051651.00,67612609.00
"VIA","BIZ00",475651000,419958000,439383000,405661000,433261756,406210121,395067134,365500460,425450000,348387317,221004897.00,221004897.00,221004897.00,"."
"VRAB","LJQ00",12294688,11963471,12128575,11458088,11471927,11423299,11259420,11002365,11091397,10235289,10790952.00,10790952.00,10790952.00,10921149.00
"WDBA","CHB00",".",".",".",".",8064384,8059104,461094912,138500000,569181753,334500000,258916050.00,258916050.00,258916050.00,"."
"WDO","BCC00",65620561,57740839,".",".",".",".",".",".",".",".",".",".",".","."
"WDO","BCE00",43219873,35377579,62315274,62155737,34735060,31958194,35071380,35240300,85253054,74268687,80086272.00,33169912.00,32245443.00,57322492.00
"WDO","BCH00",57901601,59830577,".",".",".",".",".",".",".",".",".",".",".","."
"WDO","BCW00",8897043,8538591,9045066,9306314,11153518,8736194,10471837,8922602,8736387,6840485,8665668.00,8811323.00,8864118.00,8414266.00
"WDO","CJA00",".",".",101917950,98912661,105778090,107678368,104690346,97298416,97106096,96821013,98714063.00,89463252.00,95346298.00,95135450.00
"WDO","ISC00",24122931,22230897,21824045,17953579,13920833,13629780,14885812,14230056,12996209,12553089,12153056.00,11424572.00,11413200.00,12519328.00

