"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"CHRC","BSB01",".",".",".",".",".",".",".",".",".",".",9297057.00,9297057.00,9237262.00,"."
"CHRC","BSC01",".",".",".",".",".",".",".",".",".",".",1159629.00,1159629.00,1152171.00,"."
"CHRC","DAR00",".",".",".",".",".",".",15062224,15005017,15219389,14694112,".",".",".",15371307.00
"CHRC","ISC00",6884232,6793402,6592864,6448023,7106810,6989399,8186612,7347137,7286159,6986458,".",".",".",6777865.00
"CHRC","ISS00",".",".",".",".",".",".",".",".",".",".",6628443.00,6628443.00,6585811.00,"."
"CHRT","ARJ00",2344591,1971469,2303759,2098767,1367848,1362055,".",".",".",".",".",".",".","."
"CHRT","ISC00",2525978,2248140,2366665,2331659,1110825,1106618,".",".",".",".",".",".",".","."
"CI","AFP00",52625831,48674101,45271198,44096198,39810239,39557058,33868593,33620196,51166614,50199614,34139406.00,32563516.00,31833755.00,36932907.00
"CI","AFV00",68853128,59616808,60849860,38115873,57867068,31042845,79130413,41760082,89089079,84486400,63786532.00,65173787.00,66144469.00,75135278.00
"CI","AFW00",95787921,76410491,112701893,93642100,115658136,104056335,129784021,108005276,147384323,122488481,130472436.00,145208455.00,166679008.00,154340892.00
"CI","AJO00",".",".",-29101484,-206332014,".",".",".",".",".",".",".",".",".","."
"CI","COA00",".",".",".",".",177230530,-287387229,464617759,-252405048,717022807,-305527340,-151037689.00,55485250.00,105213159.00,-184207868.00
"CI","ISC00",239979148,231778110,244094182,231596325,235789928,226988706,233263673,217846347,229497883,221034966,202583653.00,210142723.00,210053164.00,189249864.00
"CI","LJI00",44830640,40200532,80486817,79311817,82234006,81907913,58707042,58368375,52572768,48435999,41914494.00,40836295.00,40745617.00,44243952.00
"CI","LJV00",26959177,20617661,24764395,20831035,30945774,28817691,33441423,29371737,48264969,30418453,24549632.00,24013273.00,24170238.00,53069957.00
"CI","LJW00",40562901,30301402,32669562,28698237,31249238,29926000,161348846,104261333,79543726,54854685,31211048.00,25687111.00,25866130.00,28013358.00
"CI","LJX00",979200831,950739681,1000314120,970807076,1015688908,1010190212,1154810927,1107030857,1333562321,1220648602,1201496174.00,1144949803.00,1071549868.00,1174026452.00
"CI","LJY00",47783663,46583524,64797788,62517787,83594979,82983275,78481010,77993946,67482317,66260930,61730209.00,61021296.00,61021718.00,62018218.00
"CI","LJZ00",3288645,3282924,5617939,5616646,5898735,5896698,6633273,6480611,6829759,6749459,6113693.00,6001030.00,5979065.00,5908956.00
"CI","X0001",17412361,15120234,11732446,9793615,10976878,6771604,4163554,4163554,".",".",".",".",".",12100261.00
"CICS","AVS00",4151849,3344606,4132575,3800944,4258885,3508894,4315949,3561128,4269683,3580015,4442435.00,4442435.00,4442435.00,4056344.00
"CICS","ISC00",2767900,1810874,1989040,2063937,1901425,1660593,1825719,1709423,1831462,1661923,1402874.00,1402874.00,1402874.00,1798677.00
"CIDA","BHP00",1122113790,786424294,90249360,90249360,".",".",".",".",".",".",".",".",".","."
"CIDA","BHQ00",780936947,602412281,28625010,28625010,".",".",".",".",".",".",".",".",".","."
"CIDA","BHR00",281043430,279461152,31918354,31918354,".",".",".",".",".",".",".",".",".","."
"CIDA","BHS00",1398250403,1370525021,477389292,477389292,".",".",".",".",".",".",".",".",".","."
"CIDA","BHT00",285591528,271384693,43493262,43493262,".",".",".",".",".",".",".",".",".","."
"CIDA","ISC00",102173512,99349993,20790626,20790626,".",".",".",".",".",".",".",".",".","."
"CIHR","BDW00",452447948,482927902,474068424,488585954,733531514,726255103,703248504,705412045,721190915,710222941,729681747.00,736801477.00,728758203.00,692653215.00
"CIHR","BDX00",185273995,173088363,173303484,168791689,281195815,287739903,313499384,308482516,331971613,339269186,329590055.00,323145141.00,323960643.00,305231168.00
"CIHR","BDY00",64675734,52306643,58625183,57415525,".",".",".",".",".",".",".",".",".","."
"CIHR","BDZ00",275996878,260893758,268478487,256650865,".",".",".",".",".",".",".",".",".","."
"CIHR","ISC00",29673848,27836076,26563383,26527955,3308134,3284376,12502506,12483592,30032008,31838217,28079171.00,28270323.00,27848247.00,28685620.00
"CIRB","ALJ00",9609461,9103648,9828338,9243095,5509956,5502428,".",".",".",".",".",".",".","."
"CIRB","ISC00",4075330,3682468,4267722,4014111,1988633,1985916,".",".",".",".",".",".",".","."
"CITT","AHJ00",8736121,8395969,8187765,8063133,4250763,4236127,".",".",".",".",".",".",".","."
"CITT","AHK00",119673,115013,110645,108961,57443,57245,".",".",".",".",".",".",".","."
"CITT","ISC00",3111495,2990345,2766137,2724031,1436068,1431124,".",".",".",".",".",".",".","."
"CLVM","BIL00",25173000,24472000,24472000,17196000,".",".",".",".",".",".",".",".",".","."
"CMC","ACT00",64364831,64364831,62850567,62850567,68923716,68923716,83587255,83587255,77746477,77746477,71600477.00,71600477.00,71600477.00,"."
"CMHC","ALP00",1641608000,1591051620,".",".",".",".",".",".",".",".",".",".",".","."
"CMHC","ALQ00",21910000,18036004,23902000,23010395,25078000,23716148,24673000,19468999,27419000,26793193,30000000.00,27000000.00,25000000.00,"."
"CMHC","ALR00",273000,424389,".",".",".",".",".",".",".",".",".",".",".","."
"CMHC","ALS00",29232000,33187194,".",".",".",".",".",".",".",".",".",".",".","."
"CMHC","ALT00",13108000,6186450,".",".",".",".",".",".",".",".",".",".",".","."
"CMHC","ALW00",29996000,30522299,22999000,22343364,21456000,21383430,18710000,23450422,23669000,32830041,28000000.00,27000000.00,26000000.00,"."
"CMHC","BII00",153605000,158170186,".",".",".",".",".",".",".",".",".",".",".","."
"CMHC","BIJ00",250080000,248819812,".",".",".",".",".",".",".",".",".",".",".","."
"CMHC","CDA00",".",".",1752401000,1716335548,1681525000,1646446541,1689932000,1670346270,1734922048,1690482335,1722000000.00,1701000000.00,1728000000.00,"."
"CMHC","CDB00",".",".",323702000,316270485,361820000,354019775,284352000,282953018,1360966001,1353290492,865000000.00,302000000.00,38000000.00,"."
"CMHC","CDC00",".",".",7574000,6889835,7474000,7647169,7962000,12150674,29125000,25735114,90000000.00,88000000.00,48000000.00,"."
