"DeptCode","SObj","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"FTRAC",2,955000,323000,323000,1418000,359000,359000
"FTRAC",3,201000,53000,53000,246000,32000,32000
"FTRAC",4,3639000,303000,303000,5951000,765000,765000
"FTRAC",5,6004000,176000,176000,5966000,1344000,1344000
"FTRAC",6,594000,20000,20000,541000,41000,41000
"FTRAC",7,301000,50000,50000,348000,67000,67000
"FTRAC",8,0,0,0,0,0,0
"FTRAC",9,600000,45000,45000,3697000,24000,24000
"FTRAC",10,0,0,0,0,0,0
"FTRAC",12,0,91000,91000,0,-3000,-3000
"GG",1,15500000,3755000,3755000,15616000,3885000,3885000
"GG",2,2120000,330000,330000,2250000,484000,484000
"GG",3,770000,103000,103000,820000,116000,116000
"GG",4,1754000,188000,188000,2090000,426000,426000
"GG",5,360000,71000,71000,330000,96000,96000
"GG",6,10000,2000,2000,18000,0,0
"GG",7,1183000,184000,184000,1107000,122000,122000
"GG",8,330000,29000,29000,270000,77000,77000
"GG",9,647000,143000,143000,574000,141000,141000
"GG",12,70000,14000,14000,70000,19000,19000
"GSC",1,1143796000,292378000,292378000,1160423000,280384000,280384000
"GSC",2,76736000,13622000,13622000,71607000,14466000,14466000
"GSC",3,12731000,2059000,2059000,13170000,2072000,2072000
"GSC",4,2014064000,184306000,184306000,1852587000,162778000,162778000
"GSC",5,1311390000,300345000,300345000,1118809000,358875000,358875000
"GSC",6,1177927000,165403000,165403000,1183948000,163684000,163684000
"GSC",7,269432000,21109000,21109000,288112000,24806000,24806000
"GSC",8,487371000,36183000,36183000,471057000,36426000,36426000
"GSC",9,67778000,8789000,8789000,70244000,14063000,14063000
"GSC",10,0,349644000,349644000,0,367940000,367940000
"GSC",12,773990000,100647000,100647000,717247000,78985000,78985000
"GSC",20,-3640771000,-313306000,-313306000,-3724708000,-362411000,-362411000
"H",1,913751000,200762000,200762000,903657000,188955000,188955000
"H",2,251082000,48570000,48570000,262128000,46964000,46964000
"H",3,16688000,1288000,1288000,13232000,608000,608000
"H",4,521533000,102569000,102569000,498680000,115759000,115759000
"H",5,9729000,1307000,1307000,8670000,3644000,3644000
"H",6,19934000,1652000,1652000,23694000,1378000,1378000
"H",7,589842000,127627000,127627000,578153000,142176000,142176000
"H",8,7354000,0,0,21823000,23000,23000
"H",9,29988000,7668000,7668000,9754000,6715000,6715000
"H",10,2190718000,805978000,805978000,1925128000,761977000,761977000
"H",12,3472000,2348000,2348000,3206000,1322000,1322000
"H",20,-197324000,-26464000,-26464000,-287955000,-53609000,-53609000
"HRSD",1,1850345000,465217000,465217000,1918024000,442792000,442792000
"HRSD",2,53905000,10049000,10049000,57606000,10005000,10005000
"HRSD",3,63852000,9374000,9374000,56361000,9488000,9488000
"HRSD",4,618127000,134339000,134339000,646804000,108420000,108420000
"HRSD",5,242560000,56384000,56384000,266027000,8629000,8629000
"HRSD",6,5243000,151000,151000,11365000,616000,616000
"HRSD",7,8403000,906000,906000,9367000,1035000,1035000
"HRSD",9,34511000,1163000,1163000,30290000,973000,973000
"HRSD",10,57033138000,13805920000,13805920000,55133095000,14903942000,14903942000
"HRSD",12,3512000,3250000,3250000,2914000,50000,50000
"HRSD",20,-1899166000,-383899000,-383899000,-1948710000,-377565000,-377565000
"INAC",1,425696000,108707000,108707000,397908000,103025000,103025000
"INAC",2,28221000,4081000,4081000,53232000,4154000,4154000
