dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
PCC,ex2,1,1,1,1,1,0.01484
PCC,ex3,1,1,1,.,.,0.0089
PCC,non,55,60,68,68,64,0.93472
PCO,ex1,48,44,38,29,32,0.05101
PCO,ex2,14,10,14,14,19,0.01896
PCO,ex3,20,19,16,15,12,0.0219
PCO,ex4,11,9,11,8,11,0.01335
PCO,ex5,9,6,3,4,6,0.00748
PCO,non,652,663,646,642,719,0.88729
PHAC,ex1,39,34,34,38,37,0.01657
PHAC,ex2,20,18,16,17,19,0.0082
PHAC,ex3,14,15,14,17,17,0.00701
PHAC,ex4,2,2,3,1,1,0.00082
PHAC,non,2088,2106,2119,2150,2160,0.9674
PMPRB,ex1,2,2,3,2,2,0.03595
PMPRB,ex2,2,2,2,2,2,0.03268
PMPRB,ex3,1,1,1,1,1,0.01634
PMPRB,non,48,50,54,64,64,0.91503
PSC,ex1,29,24,22,18,18,0.02876
PSC,ex2,8,6,9,13,11,0.01218
PSC,ex3,11,10,9,7,7,0.0114
PSC,ex4,3,3,3,4,3,0.00415
PSC,ex5,1,.,1,1,2,0.0013
PSC,non,813,693,694,698,739,0.94223
PSEP,ex1,61,54,50,41,39,0.04519
PSEP,ex2,14,13,9,13,13,0.01144
PSEP,ex3,15,16,14,13,15,0.01347
PSEP,ex4,4,5,5,4,4,0.00406
PSEP,ex5,2,2,1,1,1,0.00129
PSEP,non,1016,967,899,1053,1077,0.92455
PSSRB,ex1,3,2,.,.,.,0.02674
PSSRB,ex2,2,2,.,.,.,0.02139
PSSRB,ex3,1,1,.,.,.,0.0107
PSSRB,non,90,86,.,.,.,0.94118
PSST,ex1,3,1,.,.,.,0.06349
PSST,ex3,1,1,.,.,.,0.03175
PSST,non,28,29,.,.,.,0.90476
RCMP,ex1,32,33,34,42,52,0.00606
RCMP,ex2,10,9,14,12,14,0.00185
RCMP,ex3,3,4,4,3,4,0.00057
RCMP,ex4,1,1,.,1,1,0.00013
RCMP,ex5,.,1,1,1,1,0.00013
RCMP,non,5925,6017,6384,6512,6729,0.99127
RPSDP,ex3,1,1,.,.,.,0.11111
RPSDP,non,8,8,.,.,.,0.88889
RSCT,ex3,1,1,.,.,.,0.10526
RSCT,non,9,8,.,.,.,0.89474
SC,ex1,9,9,12,14,18,0.00185
SC,ex2,49,47,44,43,45,0.00679
SC,ex3,18,18,18,16,18,0.00262
SC,ex4,6,5,5,5,5,0.00077
SC,non,6049,6427,6453,7340,6898,0.98797
SCC,ex1,4,3,3,3,6,0.01766
SCC,ex2,1,1,1,.,.,0.00279
SCC,ex3,.,.,.,1,1,0.00186
SCC,non,211,215,209,208,209,0.9777
SHARE,ex1,33,37,40,38,40,0.00714
SHARE,ex2,23,42,40,35,35,0.00664
SHARE,ex3,30,30,26,24,27,0.0052
SHARE,ex4,4,3,1,2,4,0.00053
SHARE,ex5,2,4,3,2,1,0.00046
SHARE,non,5207,5278,5126,5056,5150,0.98003
SIRC,ex1,1,1,1,1,1,0.05495
SIRC,ex4,1,1,1,1,1,0.05495
SIRC,non,13,14,16,18,20,0.89011
SSHRC,ex1,6,7,5,6,6,0.02901
SSHRC,ex2,4,4,4,4,3,0.01838
SSHRC,ex3,1,.,3,2,3,0.0087
SSHRC,ex4,2,1,.,1,1,0.00484
SSHRC,ex5,.,.,1,1,1,0.0029
SSHRC,non,186,193,196,196,197,0.93617
SWC,ex1,1,.,1,2,2,0.0125
SWC,ex2,3,3,4,4,3,0.03542
SWC,non,96,95,87,85,94,0.95208
TBC,ex1,88,94,83,83,87,0.04851
TBC,ex2,38,35,34,32,37,0.01963
TBC,ex3,43,38,37,41,41,0.0223
TBC,ex4,9,9,13,13,18,0.00691
TBC,ex5,10,12,10,11,11,0.00602
