dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
OSFI,ex4,7,6,4,2,2,0.00607
OSFI,ex5,3,2,4,4,5,0.0052
OSFI,non,546,560,526,549,580,0.79798
PCA,ex1,7,6,3,3,3,0.00118
PCA,ex2,40,44,44,43,46,0.01165
PCA,ex3,13,13,18,15,20,0.00424
PCA,ex4,7,8,7,6,9,0.00199
PCA,ex5,6,8,6,4,3,0.00145
PCA,non,3102,3315,3808,3905,4121,0.9795
PCC,ex1,3,4,2,2,1,0.03488
PCC,ex2,1,1,1,1,3,0.02035
PCC,ex3,1,1,.,.,.,0.00581
PCC,non,60,68,68,64,63,0.93895
PCO,ex1,44,38,29,32,33,0.04404
PCO,ex2,10,14,14,19,21,0.01952
PCO,ex3,19,16,15,12,19,0.02027
PCO,ex4,9,11,8,11,16,0.01376
PCO,ex5,6,3,4,6,6,0.00626
PCO,non,663,646,642,719,911,0.89615
PHAC,ex1,34,34,38,37,38,0.01649
PHAC,ex2,18,16,17,19,11,0.00738
PHAC,ex3,15,14,17,17,16,0.0072
PHAC,ex4,2,3,1,1,1,0.00073
PHAC,ex5,.,.,.,.,1,0.00009
PHAC,non,2106,2119,2150,2160,2092,0.96812
PMPRB,ex1,2,3,2,2,2,0.03503
PMPRB,ex2,2,2,2,2,1,0.02866
PMPRB,ex3,1,1,1,1,1,0.01592
PMPRB,non,50,54,64,64,57,0.92038
PSC,ex1,24,22,18,18,23,0.0276
PSC,ex2,6,9,13,11,10,0.01288
PSC,ex3,10,9,7,7,6,0.01025
PSC,ex4,3,3,4,3,4,0.00447
PSC,ex5,.,1,1,2,.,0.00105
PSC,non,693,694,698,739,766,0.94374
PSEP,ex1,54,50,41,39,50,0.04244
PSEP,ex2,13,9,13,13,12,0.01088
PSEP,ex3,16,14,13,15,12,0.01269
PSEP,ex4,5,5,4,4,4,0.00399
PSEP,ex5,2,1,1,1,1,0.00109
PSEP,non,967,899,1053,1077,1126,0.92891
PSSRB,ex1,2,.,.,.,.,0.02198
PSSRB,ex2,2,.,.,.,.,0.02198
PSSRB,ex3,1,.,.,.,.,0.01099
PSSRB,non,86,.,.,.,.,0.94505
PSST,ex1,1,.,.,.,.,0.03226
PSST,ex3,1,.,.,.,.,0.03226
PSST,non,29,.,.,.,.,0.93548
RCMP,ex1,33,34,42,52,61,0.0067
RCMP,ex2,9,14,12,14,15,0.00193
RCMP,ex3,4,4,3,4,5,0.0006
RCMP,ex4,1,.,1,1,1,0.00012
RCMP,ex5,1,1,1,1,4,0.00024
RCMP,non,6017,6384,6512,6729,7154,0.9904
RPSDP,ex3,1,.,.,.,.,0.11111
RPSDP,non,8,.,.,.,.,0.88889
RSCT,ex3,1,.,.,.,.,0.11111
RSCT,non,8,.,.,.,.,0.88889
SC,ex1,9,12,14,18,16,0.00202
SC,ex2,47,44,43,45,41,0.00644
