dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
HMIRC,age25to29,2,.,.,.,.
HMIRC,age30to34,1,.,.,.,.
HMIRC,age35to39,3,.,.,.,.
HMIRC,age40to44,7,.,.,.,.
HMIRC,age45to49,8,.,.,.,.
HMIRC,age50to54,2,.,.,.,.
HMIRC,age55to59,5,.,.,.,.
HMIRC,age60to64,1,.,.,.,.
HRSD,age20less,17,23,89,61,46
HRSD,age20to24,447,580,775,876,886
HRSD,age25to29,1429,1511,1570,1815,2049
HRSD,age30to34,2161,2389,2451,2494,2697
HRSD,age35to39,2548,3003,3075,3213,3413
HRSD,age40to44,2761,2948,3055,3234,3497
HRSD,age45to49,3245,3320,3226,3241,3488
HRSD,age50to54,3740,3672,3633,3503,3557
HRSD,age55to59,2440,2371,2474,2507,2646
HRSD,age60to64,981,974,1043,1042,1109
HRSD,age65plus,277,306,316,326,341
IJC,age20less,.,.,.,.,3
IJC,age20to24,1,2,2,2,1
IJC,age25to29,3,2,3,2,2
IJC,age30to34,3,4,4,3,2
IJC,age35to39,2,2,2,3,4
IJC,age40to44,4,6,5,5,3
IJC,age45to49,3,5,6,3,4
IJC,age50to54,4,3,5,7,6
IJC,age55to59,5,1,3,4,5
IJC,age60to64,2,4,1,1,.
IJC,age65plus,5,2,1,2,2
INAC,age20less,10,9,14,11,13
INAC,age20to24,205,231,262,314,314
INAC,age25to29,393,353,341,281,320
INAC,age30to34,654,613,509,457,460
INAC,age35to39,750,745,697,644,662
INAC,age40to44,756,735,731,717,725
INAC,age45to49,734,741,699,695,713
INAC,age50to54,754,709,703,710,695
INAC,age55to59,440,439,450,469,525
INAC,age60to64,217,212,204,202,204
INAC,age65plus,62,70,74,82,77
IOG,age20to24,.,.,.,3,1
IOG,age25to29,3,2,.,.,2
IOG,age30to34,5,7,5,6,5
IOG,age35to39,7,6,8,6,7
IOG,age40to44,12,10,8,12,10
IOG,age45to49,21,20,15,14,14
IOG,age50to54,9,13,16,18,23
IOG,age55to59,15,14,12,11,9
IOG,age60to64,6,5,10,8,12
IOG,age65plus,6,8,6,7,5
IPC,age20less,.,1,.,2,1
IPC,age20to24,7,4,6,9,13
IPC,age25to29,20,23,23,17,26
IPC,age30to34,45,45,45,38,41
IPC,age35to39,42,41,44,45,41
IPC,age40to44,32,39,37,35,31
IPC,age45to49,38,34,39,34,36
IPC,age50to54,36,35,41,36,43
IPC,age55to59,23,24,27,24,21
IPC,age60to64,13,13,15,14,7
IPC,age65plus,2,2,5,5,1
IRB,age20less,.,1,1,2,2
IRB,age20to24,31,26,29,39,41
IRB,age25to29,77,70,42,50,49
IRB,age30to34,84,94,93,89,93
IRB,age35to39,106,114,97,105,124
IRB,age40to44,157,140,141,140,143
IRB,age45to49,133,133,132,139,153
IRB,age50to54,176,163,155,135,143
IRB,age55to59,138,119,132,142,145
IRB,age60to64,85,81,82,81,77
IRB,age65plus,47,42,50,51,61
ISC,age20less,7,5,8,12,13
ISC,age20to24,68,96,94,166,213
ISC,age25to29,361,308,319,305,364
ISC,age30to34,604,578,572,541,528
ISC,age35to39,711,748,757,748,739
ISC,age40to44,695,679,716,768,812
ISC,age45to49,754,743,680,679,698
ISC,age50to54,851,828,832,763,762
ISC,age55to59,487,479,486,531,537
ISC,age60to64,187,193,214,186,214
ISC,age65plus,57,61,64,77,67
JUS,age20less,1,4,4,5,1
JUS,age20to24,73,63,63,79,106
JUS,age25to29,350,291,274,269,273
JUS,age30to34,621,569,529,469,442
JUS,age35to39,718,685,648,646,597
JUS,age40to44,820,822,787,772,767
JUS,age45to49,755,751,748,750,784
JUS,age50to54,639,627,670,705,689
JUS,age55to59,451,446,456,460,492
JUS,age60to64,216,229,221,228,228
JUS,age65plus,81,87,76,78,82
LAC,age20less,1,5,1,3,2
LAC,age20to24,25,46,41,27,24
LAC,age25to29,64,94,94,71,82
LAC,age30to34,80,108,121,112,111
LAC,age35to39,154,158,154,129,129
LAC,age40to44,136,149,143,152,150
LAC,age45to49,147,148,134,133,131
LAC,age50to54,170,180,175,151,144
LAC,age55to59,97,104,110,106,97
LAC,age60to64,35,36,47,46,50
LAC,age65plus,4,15,6,8,9
LAC,na,.,.,.,.,1
MPCC,age20to24,.,.,1,2,1
MPCC,age25to29,3,1,2,4,3
MPCC,age30to34,4,4,6,5,5
MPCC,age35to39,4,1,3,4,3
MPCC,age40to44,3,4,2,2,3
MPCC,age45to49,2,3,5,7,5
MPCC,age50to54,.,.,.,.,2
MPCC,age55to59,1,.,2,1,2
MPCC,age60to64,1,.,.,1,1
MPCC,age65plus,.,1,1,.,.
ND,age20less,45,27,42,37,47
ND,age20to24,470,373,340,500,585
ND,age25to29,1251,1001,851,814,903
ND,age30to34,1906,1714,1642,1619,1601
ND,age35to39,2412,2269,2249,2225,2223
ND,age40to44,2823,2627,2541,2680,2697
ND,age45to49,4327,3717,3377,3221,3250
ND,age50to54,5538,5369,5207,5095,4900
ND,age55to59,3856,3782,3912,4115,4227
ND,age60to64,1697,1640,1786,1903,1987
ND,age65plus,614,627,664,745,757
ND,na,.,.,.,.,1
NEB,age20less,.,1,.,.,.
NEB,age20to24,5,6,4,3,3
NEB,age25to29,36,24,31,28,21
NEB,age30to34,52,69,69,68,42
NEB,age35to39,57,59,63,70,74
NEB,age40to44,56,65,72,63,76
NEB,age45to49,61,58,45,67,70
NEB,age50to54,64,66,78,69,69
NEB,age55to59,47,53,48,55,59
NEB,age60to64,23,24,25,32,31
NEB,age65plus,8,10,12,14,11
NFB,age20less,.,2,.,.,.
NFB,age20to24,15,4,4,5,3
NFB,age25to29,29,23,18,22,10
NFB,age30to34,71,57,45,40,38
NFB,age35to39,78,75,67,69,57
NFB,age40to44,76,68,65,60,68
NFB,age45to49,64,60,55,59,57
NFB,age50to54,73,66,72,58,60
NFB,age55to59,39,43,49,50,57
NFB,age60to64,17,15,14,20,15
NFB,age65plus,4,7,5,6,6
NPB,age20less,.,.,1,2,1
NPB,age20to24,16,17,19,16,11
NPB,age25to29,44,31,30,36,29
NPB,age30to34,50,53,59,50,49
NPB,age35to39,51,49,58,52,59
NPB,age40to44,52,65,57,58,64
NPB,age45to49,68,72,74,78,67
NPB,age50to54,69,70,65,58,68
NPB,age55to59,64,59,62,58,59
NPB,age60to64,29,29,27,30,31
NPB,age65plus,11,14,15,9,10
NR,age20less,14,20,18,17,17
NR,age20to24,168,166,175,202,165
NR,age25to29,276,262,252,250,264
NR,age30to34,457,418,376,393,395
NR,age35to39,525,501,503,520,569
NR,age40to44,559,564,570,566,606
NR,age45to49,606,572,554,554,565
NR,age50to54,795,743,676,647,641
NR,age55to59,591,582,620,606,586
NR,age60to64,260,282,285,294,309
NR,age65plus,110,121,120,142,147
NRC,age20less,2,9,2,1,2
NRC,age20to24,45,60,60,87,91
NRC,age25to29,118,112,119,141,174
NRC,age30to34,297,281,280,300,293
NRC,age35to39,448,447,452,464,463
NRC,age40to44,508,505,535,567,581
NRC,age45to49,632,617,619,639,653
NRC,age50to54,684,695,725,728,720
